customer_age_class,region,count_previous_cancellations_0_18,basket_months_since_contract_start_date,basket_days_until_contract_end,basket_months_until_contract_end,basket_package_price_disc,basket_product_category,basket_package_price_list,internet_package_price_disc,internet_product_name,internet_diff_churn_months,internet_days_until_initial_contract_end,internet_months_since_contract_start_date,flag_churn
50 - 54,HSN,9,97,81,3,99.62048930283515,ANALOG KABELANSCHLUSS,59.9319578055869,33.795343783285226,TELEFON HSI,26,89,20,0
18 - 24,KBW,4,51,6,11,45.97292904850103,VF PREMIUM,34.502230248030905,64.17616994988038,3PLAY TREUE,10,37,65,1
40 - 44,KBW,4,77,42,3,80.63299965844239,SERIES AND MOVIES,2.231754787424156,92.7450567658494,VF CABLEMAX,13,16,25,0
35 - 39,KBW,7,31,89,16,21.418601493279567,INTERNATIONAL FLAT PLUS,13.25441257140233,46.38330097471639,RED INTERNET & PHONE CABLE U,2,67,41,0
65 - 69,HSN,1,4,36,20,42.5592803207297,2PLAY,11.657623308793696,5.7611912490077355,GIGAZUHAUSE TREUE B,2,86,51,1
60 - 64,NRW,1,40,97,5,20.874573511600016,DOCU,77.68034000966009,95.90651680447799,MMA,27,37,8,1
60 - 64,HSN,1,99,48,7,20.289948603843488,HZ TV,99.7346454621192,24.82380412878815,HSI HZ BOX ONLY,0,23,5,0
not available,HSN,4,98,26,2,35.50106404844423,SUPERWLAN MODE,75.08764501290712,55.420442926086956,3PLAY TREUE HRZ,14,30,98,1
50 - 54,NRW,0,23,20,7,87.37575692213198,HD OPTION,82.7052904300491,2.515462958146608,GIGAZUHAUSE TREUE,19,83,0,1
35 - 39,HSN,7,94,19,5,99.86773729162513,BASISPREISANPASSUNG,65.12095691478387,23.823621196485067,3PLAY PREMIUM,5,81,7,0
under 18,KBW,2,56,0,16,32.48138238060157,SECURITY  PACK,75.17778198201323,67.74791864856942,2PLAY START,0,37,41,0
45 - 49,KBW,4,57,100,23,87.08056205333924,SERIES AND MOVIES,63.92779818477218,61.80431269658505,3PLAY TREUE,8,47,15,1
80 and over,KBW,3,61,93,4,29.33567928521288,2PLAY,41.854693800846555,50.84692325721672,MMA MB,5,24,41,1
50 - 54,KBW,3,3,76,13,41.03431889203275,EUROPA FLAT PLUS,66.48090126416332,81.14112288653997,3PLAY SMART HRZ,3,85,28,1
45 - 49,NRW,7,77,57,7,64.55824005640326,DOCU,44.605532232618515,80.4880965566014,3PLAY + PAY,11,4,83,0
75 - 79,KBW,3,46,84,1,26.38771922141855,KMV PREMIUM,71.77794691124303,47.70949231796523,3PLAY,23,76,80,1
55 - 59,HSN,9,27,51,0,69.04335298059428,POSITIVOPTION 3P SMART 50,59.10134921838528,8.216318262043586,3PLAY HD BOX + ALLSTARS,24,84,65,0
70 - 74,HSN,7,96,36,10,37.400274585983304,KIDS,85.23777650170855,25.333636733724564,2PLAY,26,6,79,1
55 - 59,KBW,9,1,73,20,73.72088834430946,ANALOG KABELANSCHLUSS,98.5398659828499,60.8156906927354,TREUEPLUS BASIS,4,47,4,0
under 18,NRW,9,3,48,11,11.023691641948064,HD MODUL,41.0036998530383,14.937749717107462,3PLAY PLUS MTA,2,59,86,1
not available,HSN,4,98,18,7,67.2340141871181,AVM REPEATER 1750E,41.51566404347244,99.65042694504659,3PLAY TREUE,31,20,30,1
70 - 74,NRW,4,100,71,16,24.177181058795384,KIDS,66.71850486513699,79.03972492467179,1PLAY MAX,15,47,80,1
25 - 29,NRW,5,11,75,0,97.08355644459759,KIDS,97.10626459734904,87.46454559069593,3PLAY + PAY,31,33,35,1
55 - 59,KBW,2,59,37,20,66.80821210366142,OTC INTERNET,70.075083859407,39.59573380203341,3PLAY TREUE GENRE,15,7,12,0
50 - 54,KBW,0,86,17,20,43.780233333524045,GIGATV CABLE BOX,29.50495755454461,46.743064675789505,3PLAY HD BOX,29,22,99,1
35 - 39,HSN,2,17,77,23,95.44168940869051,AVM POWERLINE 1260E,13.138589302387638,61.51450863542621,2PLAY FLY,24,97,82,1
55 - 59,NRW,5,28,10,13,52.34557905659396,ALLSTARS,89.370536202976,46.33015070619339,TELEFON HSI,20,15,86,1
80 and over,NRW,9,39,90,4,22.72888879037066,DIGITAL KABELANSCHLUSS,3.6077390017289934,1.1424634217535812,128KBIT,19,41,53,0
55 - 59,KBW,2,66,49,3,69.84983154652402,SD RECEIVER,89.00671263216367,80.36371873481578,3PLAY TREUE HRZ,18,80,24,1
55 - 59,NRW,4,52,39,10,80.17188462792399,HRZ RECORDER,38.36014411691424,83.70555351699629,HSI HZ BOX ONLY,13,7,13,0
not available,HSN,2,89,24,17,88.50212829419625,INTERNATIONAL FLAT PLUS,4.735496041163145,52.0478864955512,3PLAY PLUS,15,91,54,1
60 - 64,KBW,5,16,64,18,23.597491557301133,POSITIVOPTION 3P SMART 50,88.65031606995954,76.14556738407896,GIGAZUHAUSE TREUE D,9,99,2,0
70 - 74,NRW,2,44,57,4,82.03671134134342,OTC INTERNET,86.80034804802939,85.34587680908466,INTERNET,13,42,68,0
35 - 39,NRW,5,87,34,19,30.82617296073581,DIGITAL INTERNATIONAL,74.53438689426208,82.468034518328,EAZY FLEX,3,67,30,1
45 - 49,KBW,4,4,53,5,88.65707376412355,2PLAY,4.014674344325497,43.055807594617704,3PLAY PREMIUM MTA,26,22,24,1
45 - 49,KBW,5,76,43,4,85.15830723512352,HD RECEIVER,72.01296607468674,15.67132335090099,3PLAY JUMP,11,76,21,1
70 - 74,KBW,5,71,90,7,69.93906707874226,HD MODUL,55.25769587077479,62.32767263029287,MMA MB,29,92,18,1
40 - 44,NRW,1,23,67,7,3.8794927342799213,HIGHLIGHTS,67.90768815820364,51.22355824532063,3PLAY PLUS HRZ,28,11,36,0
75 - 79,KBW,5,88,71,14,66.88739175931794,DOCU,89.36501172115929,23.001512243880896,GIGAZUHAUSE TREUE B,26,11,14,1
60 - 64,HSN,6,63,30,5,65.66171485178842,VERSTAERKER,72.86640222566581,25.130525564577155,INTERNET COMFORT,17,85,82,1
55 - 59,NRW,7,81,34,10,51.38511635508062,HD MODUL,70.44461980182018,7.13883849916106,3PLAY + PAY,9,14,18,1
not available,NRW,7,43,17,1,21.406452654749287,HZ TV,21.85855408827001,58.55403674178724,GIGAZUHAUSE CABLEMAX,15,83,3,0
30 - 34,KBW,9,92,12,7,33.20690473948636,MMA ACTIVE,43.42798537407154,79.61251674988058,3PLAY + PAY,12,66,74,1
25 - 29,NRW,4,69,78,20,92.81468122689628,SECURITY  PACK,63.31309602126113,67.1226395932509,1PLAY,18,96,82,1
60 - 64,HSN,1,86,50,21,92.03486738671207,DIGITAL KABELANSCHLUSS,82.8537443976283,14.456250737569132,1PLAY,29,42,5,1
18 - 24,HSN,4,16,58,2,77.8387340966533,BOOSTER STANDARD,32.519689588799075,26.26180143329696,EAZY FLEX,22,72,90,1
25 - 29,NRW,7,47,9,23,53.92719567710659,SKY WELT,13.23879608780395,17.06100334170716,2PLAY TREU,21,39,67,0
70 - 74,KBW,1,2,68,12,20.570659202671383,INTERNATIONAL FLAT PLUS,64.92377933357268,96.22547100114214,128KBIT,20,9,27,0
70 - 74,KBW,9,69,63,4,2.8261048120604038,POSITIVOPTION 3P SMART 50,20.380491357605855,83.80372758173917,VF RIP U-TREUE,31,8,68,0
75 - 79,HSN,1,43,89,4,80.83634369339522,AVM REPEATER 1750E,3.794457674543583,9.31318077945763,3PLAY PREMIUM HRZ,5,47,79,0
under 18,NRW,9,22,22,1,33.74672748418721,HD MODUL,80.05823477368116,17.827203977069285,GIGAZUHAUSE KABEL,11,72,65,1
under 18,NRW,9,19,27,15,4.021106601642699,3PLAY,41.07597536638049,96.60116581802531,INTERNET START HZ TV,0,49,24,0
65 - 69,HSN,0,84,33,16,34.56117090112648,SECURITY  PACK,12.27450905376626,89.08359971039623,TREUEPLUS,10,35,59,0
50 - 54,HSN,3,38,23,15,94.59310346181657,TV START,28.398684485855753,7.688404569901131,2PLAY,16,18,15,0
75 - 79,HSN,1,82,55,23,51.09423477886011,KIDS,71.38330040337243,51.410670385528825,2PLAY JUMP,13,53,47,1
35 - 39,NRW,4,9,36,10,41.31349590814087,POSITIVOPTION 3P SMART 50,22.318574428130212,6.644262796465805,3PLAY TREUE,6,91,82,0
75 - 79,HSN,4,87,27,14,25.443755312527962,GIGATV CABLE,52.44883515820612,46.969011893718914,INTERNET,28,77,71,1
45 - 49,HSN,9,67,48,15,17.04186985031474,AVM POWERLINE 1260E,40.55849077892725,12.991679783300869,GIGAZUHAUSE CABLEMAX,19,92,91,1
40 - 44,KBW,6,46,26,9,78.30012295103809,SD RECEIVER,37.73897609651557,82.01386441075545,3PLAY VORTEIL,27,71,20,0
40 - 44,HSN,6,6,98,16,69.67232991149935,SERIES AND MOVIES,63.99272792435231,9.164958682004142,GIGAZUHAUSE CABLEMAX EB,5,28,84,0
50 - 54,NRW,0,12,63,18,43.080528001248005,1PLAY,92.84006097970324,82.5739683400237,VF CABLEMAX,30,45,85,0
35 - 39,NRW,6,9,44,7,97.77185672812156,ARENA,55.395693553278136,44.91309542667432,3PLAY SMART HRZ,9,63,39,1
35 - 39,NRW,0,26,66,16,82.4735362067867,SERIES AND MOVIES,40.43568937792975,46.96108844881659,3PLAY + HD BOX + PAY,30,17,75,1
60 - 64,HSN,9,73,21,11,67.88837578923086,DIGITAL KABELANSCHLUSS,21.279547170280967,0.8186785065975366,2PLAY JUMP,2,52,99,0
45 - 49,NRW,6,11,1,14,89.5662406691719,DIGITAL KABELANSCHLUSS,41.35326457388726,18.392370193865926,3PLAY COMFORT,30,37,16,1
45 - 49,NRW,5,69,4,3,28.31521147555246,POSITIVOPTION 3P SMART 50,65.12197704594475,99.92709261290162,2PLAY,4,31,59,0
55 - 59,HSN,4,0,76,9,45.28765173382738,AVM POWERLINE 1260E,3.615530479414397,97.6854198197212,3PLAY + PAY,31,15,2,0
65 - 69,HSN,0,71,59,17,86.3223566301215,VTV INTERNATIONAL,65.47266654286409,68.33990731381878,3PLAY JUMP,0,40,88,1
60 - 64,KBW,3,54,25,16,35.547441690896555,VF PREMIUM,86.04181942648516,58.68563960393994,VF CABLEMAX FULL FLEX,27,75,57,0
30 - 34,KBW,6,61,58,2,22.593720925347995,TV START,78.76727103367789,77.78217333344718,3PLAY TREUE GENRE,14,99,40,0
not available,NRW,5,85,68,1,62.08899801006839,OTC INTERNET,95.9117090929662,78.4878156813474,3PLAY HD BOX + ALLSTARS,31,93,27,0
25 - 29,NRW,2,73,31,12,49.773478119281044,ANALOG KABELANSCHLUSS,67.46407089096515,77.97645129292026,HSI HZ BOX ONLY,19,79,39,1
30 - 34,HSN,2,28,0,20,87.92325864690754,1PLAY,49.48866306989687,16.68035406590046,TELEFON HSI,26,73,36,0
70 - 74,NRW,5,80,69,11,2.6598149975590624,GIGATV CABLE BOX,75.61051371105117,68.88737050722412,2PLAY PLUS,14,45,95,1
not available,KBW,7,46,58,23,12.859951673708913,BASISPREISANPASSUNG,86.98556382715915,23.371605803269645,EAZY,20,83,15,0
55 - 59,HSN,3,52,89,0,34.019181324276296,BASISPREISANPASSUNG,81.21318452200231,27.962988159978796,INTERNET PREMIUM,22,65,60,1
under 18,KBW,7,84,32,15,89.52017856816752,ANALOG KABELANSCHLUSS,99.83179465893505,96.22540899558624,2PLAY PLUS,29,47,82,1
18 - 24,NRW,3,40,12,23,97.91060980636628,VERSTAERKER,27.816307692043306,62.0405161572939,3PLAY TREUE,5,24,13,0
45 - 49,KBW,6,94,60,20,38.495941386972646,EUROPA FLAT PLUS,57.84749032969363,36.90410447203902,GIGAZUHAUSE CABLEMAX EB,29,45,88,0
40 - 44,NRW,6,14,100,14,56.94603741628358,HD RECEIVER,84.67154090546855,53.999192342043045,1PLAY,2,42,18,1
75 - 79,NRW,9,40,52,5,11.807969294833487,DIGITAL KABELANSCHLUSS,98.44416096453837,63.59467161401556,INTERNET COMFORT,12,13,40,1
30 - 34,KBW,7,84,63,11,20.728756882812462,3PLAY,65.26450535469644,64.16090566141365,3PLAY + PAY,19,19,66,1
75 - 79,HSN,6,1,27,17,33.925543759359925,3PLAY,42.7251646131073,78.38764817774847,RED INTERNET & PHONE CABLE U,31,25,37,1
65 - 69,HSN,6,44,93,3,89.93073778641988,AVM POWERLINE 1260E,59.4756388631368,56.68001495997781,EAZY FLEX,16,7,54,0
75 - 79,HSN,9,28,46,6,81.61389811208149,ALLSTARS,97.41758043248949,17.407315462073914,2PLAY TREU,27,17,41,1
75 - 79,HSN,7,11,44,14,8.691373729699126,DIGITAL KABELANSCHLUSS,83.63977253895885,45.19818901103005,3PLAY + HD BOX + PAY,13,26,67,1
55 - 59,HSN,1,61,15,16,61.09034513026115,SUPERWLAN MODE,93.20971314443781,46.44632473168046,EAZY,11,75,78,1
18 - 24,KBW,7,66,75,5,15.75771347445436,POSITIVOPTION 3P SMART 50,96.27609774489001,81.6735974192815,TREUEPLUS,26,8,65,1
75 - 79,HSN,2,33,36,10,69.18748629467414,EUROPA FLAT PLUS,59.94715805171986,59.10771138119926,2PLAY JUMP,3,7,92,0
75 - 79,HSN,6,24,58,14,18.358764611917845,SKY WELT,96.73283319004085,92.24332240112471,TREUEPLUS BASIS,22,92,37,1
50 - 54,KBW,3,4,16,2,8.694108287578239,ALLSTARS,58.97805090225886,53.45544051124271,3PLAY + HD BOX + PAY,29,47,36,1
not available,KBW,4,36,2,10,2.515284374984439,2PLAY,30.143880653189026,81.7853136160349,GIGAZUHAUSE CABLEMAX,18,61,50,1
75 - 79,HSN,9,50,62,5,66.17246285452593,KMV PREMIUM,39.8964893437008,64.32925960386477,3PLAY + PAY,10,3,92,1
55 - 59,NRW,9,60,72,3,4.613678118018594,ARENA,57.279461596913585,99.0793193872198,GIGAZUHAUSE TREUE,12,52,30,1
40 - 44,HSN,0,92,74,18,40.59151722167559,HD RECORDER,80.16481360991304,70.79277668813826,GIGAZUHAUSE CABLEMAX,21,0,62,1
60 - 64,HSN,5,5,79,23,20.333956332646252,DIGITAL KABELANSCHLUSS,34.74867989514223,80.01927985144968,1PLAY,3,45,54,1
80 and over,KBW,4,93,44,9,48.3623424673998,HRZ RECORDER,47.77225088621233,15.736484646634974,2PLAY PREMIUM,21,23,99,1
under 18,KBW,2,50,95,23,8.466495481788138,KMV PREMIUM,29.9195328360226,7.107102591682423,1PLAY,17,49,24,0
under 18,NRW,3,87,52,10,55.44342577714918,BASISPREISANPASSUNG,16.433653789985147,83.63155237736419,INTERNET START HZ TV,14,71,96,1
70 - 74,NRW,2,37,99,6,11.769608990836522,SUPERWLAN,18.17462993386535,39.396681584177465,2PLAY TREU,18,5,58,0
35 - 39,KBW,2,7,68,0,60.88795228441421,GIGATV CABLE BOX,16.171735541757005,21.51846757506365,RIP CABLE U TREUE,8,35,39,0
under 18,NRW,9,78,22,10,20.33800563052154,DIGITAL INTERNATIONAL,41.3380199688355,63.092604237032035,GIGAZUHAUSE KABEL,10,91,25,1
45 - 49,NRW,7,96,56,18,35.14415380485691,SECURITY  PACK,2.7580954444729966,53.21348550315147,VF CABLEMAX FULL FLEX,2,41,24,0
55 - 59,HSN,3,98,25,15,3.587784083258083,KMV PREMIUM,50.50883326449163,19.056267067519173,GIGAZUHAUSE KABEL,13,93,67,1
70 - 74,KBW,5,67,80,5,92.7860050955189,TV START,98.4397105772624,98.0544858930728,3PLAY + HD BOX + PAY,14,45,56,1
under 18,NRW,2,70,67,22,11.96488984471068,MMA ACTIVE,25.846807528101223,77.39105690966008,GIGAZUHAUSE KABEL,24,72,76,0
not available,HSN,7,100,92,19,11.207960741339951,VERSTAERKER,32.599752828879545,34.74548400300738,3PLAY + PAY,21,35,37,1
70 - 74,HSN,5,33,27,17,88.01249112171502,SERIES AND MOVIES,54.606545939019,58.301503666805765,RIP CABLE U TREUE,2,76,21,1
35 - 39,KBW,9,62,31,15,39.82476496225147,BASISPREISANPASSUNG,96.73745745701194,32.971566564930164,3PLAY + PAY,13,41,79,1
25 - 29,KBW,0,60,17,16,98.29218040411223,VF PREMIUM,88.79085480621725,66.54892529001745,TREUEPLUS,12,6,44,1
75 - 79,KBW,6,5,1,8,30.609824007489518,ARENA,33.340689154594806,88.7826530764158,MMA,5,74,22,1
25 - 29,NRW,1,4,86,8,65.58853247873178,HD MODUL,17.42485197284742,30.164291544411814,3PLAY SMART HRZ,29,20,54,0
70 - 74,NRW,7,44,95,20,3.8798156912088877,SECURITY  PACK,42.887914107785775,14.017612268407875,GIGAZUHAUSE TREUE,17,4,76,0
80 and over,KBW,3,20,41,8,93.75008897484662,HZ TV,19.659897501888167,8.113101038480098,INTERNET START HZ TV,3,20,71,0
55 - 59,HSN,0,34,45,5,43.990465907025964,2PLAY,79.2303951657774,13.04709124597634,GIGAZUHAUSE CABLEMAX,6,2,38,0
25 - 29,HSN,5,57,39,18,9.218597248045224,HD RECORDER,94.3616566633078,29.300059302441728,TREUEPLUS,19,21,49,0
40 - 44,KBW,1,96,95,12,74.36898801824493,SECURITY  PACK,18.119705824096588,11.452661489555494,TELEFON HSI,11,50,68,1
80 and over,NRW,9,23,55,8,75.30250304840489,HD MODUL,80.5053232738906,31.884191754081638,2PLAY FLY,24,81,28,1
70 - 74,KBW,4,84,89,8,54.94939620189838,HD RECEIVER,68.01028186072186,59.63506766531247,TELEFON HSI,21,68,35,0
60 - 64,KBW,1,12,88,1,54.417503048012605,MMA ACTIVE,49.68348856851499,90.13885497015673,EAZY,24,49,100,1
under 18,NRW,4,88,29,14,88.55896967945026,VF PREMIUM,13.418185431355056,57.50869730953483,INTERNET,10,60,21,0
45 - 49,HSN,1,14,13,16,32.893303139330754,ARENA,91.96432710627236,99.23155148885311,3PLAY START,32,77,87,1
70 - 74,HSN,7,78,48,23,7.536312248054933,SPORTS,53.98151194933604,57.05799402512503,GIGAZUHAUSE TREUE B,15,46,48,0
40 - 44,HSN,3,22,66,14,41.820511610243074,KMV PREMIUM,61.869837003835904,89.39110929577396,TELEFON HSI,22,9,13,0
25 - 29,KBW,1,6,20,12,11.62244563116217,SERIES AND MOVIES,43.33465325162338,54.17235499613188,3PLAY JUMP,17,2,95,0
30 - 34,KBW,6,100,33,0,96.82850046473204,ARENA,44.17331170904758,46.41180869398579,3PLAY + PAY,3,64,82,0
40 - 44,HSN,5,60,48,3,55.27080340515451,DIGITAL INTERNATIONAL,80.53456970030513,70.20765685065,GIGAZUHAUSE TREUE D,7,41,81,0
60 - 64,KBW,6,44,43,22,97.29608647858228,VERSTAERKER,16.36187970259857,43.08985630411741,GIGAZUHAUSE KABEL,6,20,73,1
30 - 34,HSN,7,84,6,9,87.27352962897412,BASISPREISANPASSUNG,80.47516117110395,52.58373908924165,GIGAZUHAUSE TREUE,29,63,72,0
25 - 29,HSN,5,8,44,5,72.13541129111749,DOCU,22.794242453948332,39.45152709585686,MMA,13,2,25,0
45 - 49,KBW,1,59,76,8,39.81214992870744,ANALOG KABELANSCHLUSS,13.92533990256547,82.36686267407822,GIGAZUHAUSE CABLEMAX,14,82,61,0
25 - 29,HSN,4,63,0,2,45.78773195766236,BASISPREISANPASSUNG,0.7328281383282897,22.82162172223956,2PLAY TREU,21,34,26,1
not available,NRW,5,84,26,4,22.78833479166782,ALLSTARS,78.61735718975763,29.95389176668617,3PLAY TREUE GENRE,8,48,25,0
55 - 59,HSN,7,72,24,5,60.41478449357799,SKY WELT,6.092831302982704,31.69843887175722,2PLAY COMFORT,8,75,6,0
not available,NRW,4,66,100,22,78.35156398186304,SKY WELT,89.29334339222802,18.823639925328028,3PLAY TREUE,19,64,56,1
30 - 34,NRW,2,35,68,17,72.40681106653419,EUROPA FLAT PLUS,62.509910157084,66.27439606659904,3PLAY SMART HRZ,25,92,14,0
55 - 59,HSN,2,57,53,12,31.02160810764685,HD RECORDER,79.83088469763993,35.18237577801098,MMA MB,21,55,85,0
25 - 29,HSN,5,77,11,17,67.11039253311675,ARENA,26.982220245901622,7.839036430796753,INTERNET PREMIUM,19,84,27,0
not available,KBW,2,76,1,19,62.68835283470825,1PLAY,30.546872884277988,83.9825546914302,INTERNET COMFORT,22,94,88,0
55 - 59,NRW,6,57,2,14,64.72078028840329,GIGATV CABLE BOX,17.693685763266842,23.015393525763493,VF CABLEMAX,13,51,52,0
75 - 79,KBW,7,50,67,6,26.574136449172947,ALLSTARS,56.12581035791522,95.23108778265413,3PLAY PREMIUM,19,41,6,0
35 - 39,HSN,6,22,2,22,62.02060012377505,2PLAY,27.981202448626107,48.80894202744764,INTERNET COMFORT,0,26,11,1
25 - 29,NRW,7,4,37,15,20.10288869635264,1PLAY,38.89088535361112,92.37374260322302,TREUEPLUS BASIS,24,72,42,0
30 - 34,HSN,7,42,81,19,40.072774795025055,HD OPTION,39.437671844220056,56.47962745984776,1PLAY,5,77,79,1
not available,KBW,3,58,28,6,55.4738536709977,SUPERWLAN MODE,16.74864809100435,13.798527296588482,3PLAY JUMP,29,86,69,0
45 - 49,KBW,0,42,30,2,66.09036278805345,ALLSTARS,56.22470097002431,54.40030614444661,3PLAY PLUS,23,40,20,0
40 - 44,KBW,5,32,24,4,57.23014283411308,HD OPTION,49.900155828094505,48.49052312465012,TELEFON HSI,17,33,58,1
35 - 39,HSN,2,69,65,12,25.12528034005671,EUROPA FLAT PLUS,12.067712334555436,92.50610929164718,GIGAZUHAUSE TREUE B,20,15,89,0
75 - 79,HSN,2,8,67,3,80.0614500032378,ARENA,81.21434420182344,22.062294282669683,HSI HZ BOX ONLY,7,89,76,0
40 - 44,KBW,6,64,82,23,1.4649333496953965,1PLAY,92.42442327212396,55.69120408998069,3PLAY TREUE,2,44,33,0
65 - 69,NRW,2,47,33,18,0.028311652439949597,SPORTS,75.47529754682861,56.425166303182905,3PLAY PLUS MTA,10,89,82,1
30 - 34,NRW,2,92,79,12,19.004012293576945,3PLAY,86.23916406540846,98.13812856992458,VF CABLEMAX,26,67,38,1
50 - 54,HSN,4,55,90,17,16.05668421133648,HIGHLIGHTS,77.02850592872997,58.79590595998271,RIP CABLE U TREUE,10,83,57,1
30 - 34,KBW,4,88,8,8,95.10445202274525,TV START,29.229442215637313,63.88515461261408,MMA MB,22,16,66,1
25 - 29,NRW,1,20,65,16,30.91940449381966,TV START,27.129040736393073,19.345073698325955,2PLAY COMFORT,14,89,97,0
55 - 59,HSN,5,11,24,8,14.678122463106169,VF PREMIUM,42.23322184240661,64.07731476286615,HSI HZ BOX ONLY,19,56,43,0
70 - 74,NRW,6,1,71,23,43.23928632738306,SECURITY  PACK,3.0331313995237252,28.928019950766494,GIGAZUHAUSE CABLEMAX,30,25,99,1
70 - 74,NRW,5,89,78,15,80.8988167277714,KMV PREMIUM,21.471446806780893,50.324974556374954,INTERNET PREMIUM,20,50,61,0
65 - 69,HSN,2,55,38,23,13.362362579828524,KIDS,67.61388344324509,27.497040273675267,VF CABLEMAX FULL FLEX,21,25,88,0
70 - 74,NRW,3,37,42,20,58.00534298840495,SKY WELT,78.95044233757636,83.45913537570162,3PLAY START,7,39,23,1
65 - 69,HSN,5,32,54,20,28.04522286737392,SERIES AND MOVIES,84.39742846477785,70.39662423322744,3PLAY TREUE GENRE,14,93,78,0
55 - 59,NRW,5,49,7,23,90.970960973701,KIDS,12.647944876106344,5.235334595378194,GIGAZUHAUSE KABEL,4,84,3,1
not available,NRW,0,75,73,7,17.538160673828727,2PLAY,67.38038551919388,89.726789262332,TREUEPLUS BASIS,3,95,26,1
40 - 44,HSN,7,69,7,4,37.48333941060731,AVM POWERLINE 1260E,43.91418221265837,72.03596109172742,GIGAZUHAUSE TREUE C,8,14,57,0
55 - 59,KBW,3,16,66,14,29.990418581328427,HD RECORDER,22.984409232289437,61.62719034998661,MMA,22,57,90,1
50 - 54,KBW,5,40,67,7,61.8784131904738,OTC INTERNET,83.40456000570808,16.833291771590186,3PLAY COMFORT,31,52,52,0
18 - 24,KBW,2,12,5,23,58.34635431021431,KIDS,0.17354799843189994,37.45197761261002,3PLAY HD BOX,17,66,67,0
50 - 54,HSN,6,87,7,10,46.68376823958127,HD RECEIVER,83.8049052553732,10.635522420705467,HSI HZ BOX ONLY,8,94,48,1
80 and over,HSN,3,89,70,18,89.36760648409654,HRZ RECORDER,48.24146629717249,33.04853998291368,INTERNET START HZ TV,11,7,35,0
not available,NRW,7,40,15,3,62.74426606035662,HD RECEIVER,40.12282080237647,53.834545080554065,3PLAY FLY,9,19,19,0
50 - 54,NRW,6,65,38,13,89.00919588038013,GIGATV CABLE,19.834663308760092,21.973723701747627,2PLAY COMFORT,6,68,22,0
80 and over,KBW,0,89,46,21,16.81026502007279,SECURITY  PACK,54.458773785625226,32.743254773828966,GIGAZUHAUSE TREUE C,20,79,88,0
25 - 29,HSN,6,22,64,13,26.191644520150803,ARENA,35.129696958069836,37.28611719288506,GIGAZUHAUSE TREUE D,20,93,12,1
55 - 59,NRW,1,65,23,8,91.95588387784312,ALLSTARS,31.30255610640955,45.88242527529797,3PLAY + PAY,5,38,65,0
not available,KBW,6,55,81,7,51.73424195534096,VTV INTERNATIONAL,76.54113614286969,46.73166512629492,VF CABLEMAX FULL FLEX,4,0,51,0
25 - 29,HSN,3,77,16,19,95.09436588516974,HZ TV,74.21148081188063,46.46364346101264,3PLAY PLUS HRZ,4,47,8,1
30 - 34,HSN,5,21,93,13,37.86359088330165,SUPERWLAN MODE,40.09981032180357,58.48205918594266,2PLAY PLUS,24,23,62,0
