,customer_age_class,region,basket_package_price_disc,internet_package_price_disc,basket_days_until_contract_end,count_previous_cancellations_0_18,internet_product_name,flag_churn
43,35 - 39,NRW,39.98,39.99,30.0,0.0,VF RIP U-TREUE,0.0
44,60 - 64,NRW,39.99,34.99,30.0,0.0,RED INTERNET & PHONE CABLE U,0.0
45,25 - 29,HSN,39.97,39.99,30.0,0.0,RED INTERNET & PHONE CABLE U,1.0
46,35 - 39,NRW,44.99,42.98,30.0,0.0,RED INTERNET & PHONE CABLE U,0.0
47,30 - 34,HSN,39.99,39.98,30.0,0.0,VF RIP U-TREUE,1.0
48,65 - 69,NRW,34.98,39.99,30.0,0.0,RED INTERNET & PHONE CABLE U,1.0
49,25 - 29,NRW,39.99,44.98,30.0,0.0,VF CABLEMAX,0.0
50,40 - 44,KBW,34.99,32.98,30.0,0.0,VF RIP U-TREUE,1.0
51,55 - 59,KBW,39.99,44.98,30.0,0.0,RED INTERNET & PHONE CABLE U,0.0
52,40 - 44,HSN,49.99,44.99,30.0,0.0,RED INTERNET & PHONE CABLE U,1.0
53,35 - 39,NRW,34.98,34.99,30.0,0.0,RED INTERNET & PHONE CABLE U,0.0
54,35 - 39,NRW,44.99,39.96,30.0,0.0,RED INTERNET & PHONE CABLE U,1.0
55,60 - 64,NRW,39.99,44.98,30.0,0.0,VF CABLEMAX,1.0
56,30 - 34,HSN,44.97,54.98,30.0,0.0,VF RIP U-TREUE,0.0
57,60 - 64,KBW,24.99,34.99,30.0,0.0,VF CABLEMAX,1.0
58,30 - 34,NRW,24.98,39.99,30.0,0.0,RED INTERNET & PHONE CABLE U,1.0
59,35 - 39,NRW,34.98,39.98,30.0,0.0,GIGAZUHAUSE KABEL,1.0
60,25 - 29,KBW,39.99,44.98,30.0,0.0,RED INTERNET & PHONE CABLE U,1.0
61,40 - 44,KBW,44.99,34.99,30.0,0.0,VF RIP U-TREUE,1.0
62,35 - 39,KBW,39.99,44.98,30.0,0.0,RED INTERNET & PHONE CABLE U,1.0
63,30 - 34,NRW,39.99,44.99,30.0,0.0,RED INTERNET & PHONE CABLE U,0.0
64,35 - 39,KBW,49.99,34.99,30.0,0.0,RED INTERNET & PHONE CABLE U,1.0
65,35 - 39,NRW,44.99,44.98,30.0,0.0,VF CABLEMAX,0.0
66,75 - 79,KBW,34.99,47.99,30.0,0.0,RED INTERNET & PHONE CABLE U,0.0
67,30 - 34,KBW,39.99,44.98,30.0,0.0,VF CABLEMAX,1.0
68,35 - 39,NRW,39.99,44.98,30.0,0.0,RED INTERNET & PHONE CABLE U,0.0
69,40 - 44,KBW,44.98,44.98,30.0,0.0,RED INTERNET & PHONE CABLE U,1.0
70,25 - 29,NRW,34.99,44.98,30.0,0.0,GIGAZUHAUSE KABEL,1.0
71,60 - 64,NRW,44.99,54.98,30.0,0.0,RED INTERNET & PHONE CABLE U,0.0
72,30 - 34,KBW,39.98,42.99,30.0,0.0,VF RIP U-TREUE,0.0
73,40 - 44,KBW,34.99,44.98,30.0,0.0,RED INTERNET & PHONE CABLE U,1.0
74,35 - 39,NRW,34.96,39.99,30.0,0.0,RED INTERNET & PHONE CABLE U,0.0
75,60 - 64,NRW,39.98,39.99,30.0,0.0,VF RIP U-TREUE,0.0
76,30 - 34,HSN,54.99,39.99,30.0,0.0,RED INTERNET & PHONE CABLE U,0.0
77,35 - 39,KBW,39.98,44.99,30.0,0.0,RED INTERNET & PHONE CABLE U,1.0
78,25 - 29,NRW,39.99,54.97,30.0,0.0,VF CABLEMAX,1.0
79,50 - 54,HSN,44.98,34.97,30.0,0.0,VF CABLEMAX,0.0
80,55 - 59,NRW,39.99,29.98,30.0,0.0,RED INTERNET & PHONE CABLE U,1.0
81,35 - 39,KBW,34.99,44.98,30.0,0.0,RED INTERNET & PHONE CABLE U,0.0
82,35 - 39,NRW,49.98,39.97,30.0,0.0,RED INTERNET & PHONE CABLE U,1.0
83,35 - 39,NRW,37.99,39.98,30.0,0.0,GIGAZUHAUSE KABEL,0.0
84,35 - 39,NRW,44.98,39.99,30.0,0.0,VF CABLEMAX,1.0
85,25 - 29,NRW,49.98,37.99,30.0,0.0,VF RIP U-TREUE,1.0
86,35 - 39,KBW,44.99,44.98,30.0,0.0,RED INTERNET & PHONE CABLE U,0.0
87,50 - 54,NRW,39.98,42.98,30.0,0.0,VF RIP U-TREUE,0.0
88,35 - 39,NRW,49.97,39.99,30.0,0.0,VF CABLEMAX,1.0
89,25 - 29,NRW,39.98,39.99,30.0,0.0,RED INTERNET & PHONE CABLE U,1.0
90,35 - 39,KBW,39.98,29.98,30.0,0.0,RED INTERNET & PHONE CABLE U,1.0
91,65 - 69,NRW,34.98,44.98,30.0,0.0,RED INTERNET & PHONE CABLE U,1.0
92,60 - 64,HSN,49.98,39.98,30.0,0.0,RED INTERNET & PHONE CABLE U,0.0
93,50 - 54,KBW,34.99,49.99,30.0,0.0,GIGAZUHAUSE KABEL,0.0
94,30 - 34,KBW,39.99,34.99,30.0,0.0,RED INTERNET & PHONE CABLE U,1.0
95,30 - 34,KBW,34.99,34.99,30.0,0.0,VF RIP U-TREUE,0.0
96,40 - 44,KBW,34.99,44.98,30.0,0.0,VF CABLEMAX,1.0
97,50 - 54,NRW,24.98,34.99,30.0,0.0,RED INTERNET & PHONE CABLE U,1.0
98,30 - 34,NRW,44.99,39.99,30.0,0.0,VF CABLEMAX,1.0
99,40 - 44,NRW,44.97,34.98,30.0,0.0,VF CABLEMAX,1.0
100,75 - 79,NRW,39.99,32.99,30.0,0.0,VF RIP U-TREUE,0.0
101,30 - 34,KBW,39.98,24.98,30.0,0.0,GIGAZUHAUSE KABEL,1.0
102,40 - 44,NRW,39.98,44.99,30.0,0.0,VF RIP U-TREUE,0.0
103,40 - 44,KBW,39.99,29.99,30.0,0.0,RED INTERNET & PHONE CABLE U,1.0
104,60 - 64,NRW,49.99,29.98,30.0,0.0,RED INTERNET & PHONE CABLE U,0.0
105,55 - 59,KBW,49.98,49.98,30.0,0.0,RED INTERNET & PHONE CABLE U,0.0
106,25 - 29,NRW,44.98,39.98,30.0,0.0,VF CABLEMAX,1.0
107,40 - 44,KBW,39.99,44.98,30.0,0.0,RED INTERNET & PHONE CABLE U,1.0
108,40 - 44,NRW,44.97,44.99,30.0,0.0,RED INTERNET & PHONE CABLE U,0.0
109,70 - 74,NRW,42.98,44.99,30.0,0.0,GIGAZUHAUSE KABEL,1.0
110,40 - 44,NRW,49.98,44.98,30.0,0.0,VF RIP U-TREUE,1.0
111,35 - 39,NRW,44.99,34.99,30.0,0.0,RED INTERNET & PHONE CABLE U,0.0
112,35 - 39,KBW,39.99,47.97,30.0,0.0,GIGAZUHAUSE KABEL,0.0
113,35 - 39,NRW,34.99,39.99,30.0,0.0,RED INTERNET & PHONE CABLE U,1.0
114,75 - 79,NRW,39.98,39.97,30.0,0.0,VF CABLEMAX,0.0
115,35 - 39,KBW,29.98,29.99,30.0,0.0,RED INTERNET & PHONE CABLE U,1.0
116,35 - 39,KBW,29.99,39.98,30.0,0.0,RED INTERNET & PHONE CABLE U,0.0
117,35 - 39,NRW,44.97,44.99,30.0,0.0,RED INTERNET & PHONE CABLE U,0.0
118,35 - 39,NRW,37.97,39.99,30.0,0.0,RED INTERNET & PHONE CABLE U,0.0
119,60 - 64,NRW,47.98,34.99,30.0,0.0,VF RIP U-TREUE,1.0
120,55 - 59,NRW,39.99,44.99,30.0,0.0,VF CABLEMAX,0.0
121,55 - 59,HSN,44.99,44.99,30.0,0.0,VF CABLEMAX,0.0
122,40 - 44,NRW,39.99,34.99,30.0,0.0,RED INTERNET & PHONE CABLE U,1.0
123,70 - 74,NRW,44.99,39.98,30.0,0.0,RED INTERNET & PHONE CABLE U,0.0
124,60 - 64,NRW,39.99,43.98,30.0,0.0,RED INTERNET & PHONE CABLE U,1.0
125,35 - 39,KBW,44.99,49.99,30.0,0.0,VF CABLEMAX,1.0
126,40 - 44,NRW,29.99,39.98,30.0,0.0,VF CABLEMAX,0.0
127,55 - 59,NRW,49.99,34.98,30.0,0.0,VF RIP U-TREUE,1.0
128,25 - 29,NRW,49.98,54.98,30.0,0.0,GIGAZUHAUSE TREUE B,0.0
129,40 - 44,KBW,34.99,44.98,30.0,0.0,VF RIP U-TREUE,1.0
130,35 - 39,KBW,34.98,34.99,30.0,0.0,VF RIP U-TREUE,0.0
131,45 - 49,HSN,44.98,44.98,30.0,0.0,RED INTERNET & PHONE CABLE U,1.0
132,35 - 39,NRW,44.99,39.97,30.0,0.0,RED INTERNET & PHONE CABLE U,0.0
133,55 - 59,NRW,44.99,44.98,30.0,0.0,VF RIP U-TREUE,1.0
134,50 - 54,NRW,44.99,39.99,30.0,0.0,RED INTERNET & PHONE CABLE U,1.0
135,65 - 69,HSN,27.99,34.98,30.0,0.0,RED INTERNET & PHONE CABLE U,0.0
136,65 - 69,KBW,44.98,34.99,30.0,0.0,VF RIP U-TREUE,0.0
137,35 - 39,KBW,34.98,44.98,30.0,0.0,VF CABLEMAX,0.0
138,40 - 44,KBW,39.99,49.98,30.0,0.0,VF RIP U-TREUE,0.0
139,60 - 64,NRW,34.99,34.99,30.0,0.0,RED INTERNET & PHONE CABLE U,1.0
140,60 - 64,KBW,39.98,39.98,30.0,0.0,RED INTERNET & PHONE CABLE U,0.0
141,25 - 29,NRW,39.98,34.98,30.0,0.0,VF CABLEMAX,0.0
142,35 - 39,NRW,39.97,34.99,30.0,0.0,GIGAZUHAUSE KABEL,1.0
143,35 - 39,HSN,39.99,37.97,30.0,0.0,VF RIP U-TREUE,0.0
144,35 - 39,KBW,39.99,39.99,30.0,0.0,VF CABLEMAX,1.0
145,30 - 34,KBW,49.98,39.98,2.0,0.0,VF CABLEMAX,1.0
146,25 - 29,KBW,29.99,39.98,30.0,0.0,VF RIP U-TREUE,1.0
147,55 - 59,KBW,34.99,34.98,30.0,0.0,GIGAZUHAUSE KABEL,0.0
148,70 - 74,HSN,39.97,39.99,30.0,0.0,RED INTERNET & PHONE CABLE U,1.0
149,45 - 49,KBW,34.98,34.98,30.0,0.0,VF CABLEMAX,0.0
150,40 - 44,KBW,44.97,44.99,30.0,0.0,RED INTERNET & PHONE CABLE U,0.0
151,55 - 59,NRW,44.99,39.98,30.0,0.0,VF RIP U-TREUE,1.0
152,40 - 44,KBW,49.98,34.99,30.0,0.0,GIGAZUHAUSE KABEL,0.0
153,25 - 29,KBW,34.98,44.99,30.0,0.0,VF RIP U-TREUE,1.0
154,40 - 44,NRW,44.99,39.99,30.0,0.0,VF RIP U-TREUE,0.0
155,35 - 39,KBW,39.99,44.97,30.0,0.0,RED INTERNET & PHONE CABLE U,0.0
156,60 - 64,KBW,44.99,44.99,30.0,0.0,RED INTERNET & PHONE CABLE U,1.0
157,25 - 29,NRW,44.98,44.98,30.0,0.0,VF CABLEMAX,1.0
158,55 - 59,NRW,39.99,47.97,30.0,0.0,RED INTERNET & PHONE CABLE U,0.0
159,40 - 44,NRW,39.99,32.99,30.0,0.0,RED INTERNET & PHONE CABLE U,1.0
160,35 - 39,NRW,39.99,39.99,30.0,0.0,GIGAZUHAUSE KABEL,0.0
161,70 - 74,HSN,32.97,34.99,30.0,0.0,RED INTERNET & PHONE CABLE U,1.0
162,50 - 54,KBW,44.98,34.98,47.0,0.0,VF CABLEMAX,0.0
163,35 - 39,NRW,49.99,29.97,30.0,0.0,VF RIP U-TREUE,1.0
164,40 - 44,KBW,39.99,39.99,30.0,0.0,RED INTERNET & PHONE CABLE U,0.0
165,25 - 29,NRW,49.98,49.99,30.0,0.0,VF RIP U-TREUE,0.0
166,30 - 34,NRW,44.98,44.99,30.0,0.0,RED INTERNET & PHONE CABLE U,1.0
167,55 - 59,KBW,49.99,34.99,30.0,0.0,RED INTERNET & PHONE CABLE U,1.0
168,55 - 59,NRW,44.99,44.98,30.0,0.0,VF CABLEMAX,1.0
169,45 - 49,KBW,47.99,39.98,30.0,0.0,VF CABLEMAX,1.0
170,70 - 74,KBW,44.99,44.98,30.0,0.0,RED INTERNET & PHONE CABLE U,1.0
171,25 - 29,KBW,39.99,39.98,30.0,0.0,VF CABLEMAX,1.0
172,25 - 29,KBW,34.98,32.99,30.0,0.0,RED INTERNET & PHONE CABLE U,0.0
173,25 - 29,KBW,34.99,44.98,30.0,0.0,RED INTERNET & PHONE CABLE U,1.0
174,35 - 39,NRW,42.97,42.99,30.0,0.0,VF RIP U-TREUE,0.0
175,45 - 49,KBW,48.98,44.99,30.0,0.0,RED INTERNET & PHONE CABLE U,0.0
176,30 - 34,NRW,44.98,39.99,30.0,0.0,VF CABLEMAX,1.0
177,25 - 29,NRW,34.99,39.98,30.0,0.0,VF CABLEMAX,1.0
178,30 - 34,NRW,34.99,34.99,30.0,0.0,RED INTERNET & PHONE CABLE U,1.0
179,40 - 44,NRW,39.98,44.99,30.0,0.0,RED INTERNET & PHONE CABLE U,1.0
180,30 - 34,KBW,34.99,44.99,30.0,0.0,RED INTERNET & PHONE CABLE U,0.0
181,40 - 44,HSN,49.99,39.99,30.0,0.0,RED INTERNET & PHONE CABLE U,0.0
182,50 - 54,NRW,44.98,44.98,30.0,0.0,RED INTERNET & PHONE CABLE U,1.0
183,50 - 54,NRW,29.99,39.99,30.0,0.0,RED INTERNET & PHONE CABLE U,1.0
184,55 - 59,NRW,44.98,24.99,30.0,0.0,VF CABLEMAX,0.0
185,60 - 64,NRW,39.99,44.97,30.0,0.0,RED INTERNET & PHONE CABLE U,1.0
186,35 - 39,HSN,44.99,44.98,30.0,0.0,RED INTERNET & PHONE CABLE U,0.0
187,30 - 34,NRW,34.99,39.99,30.0,0.0,VF RIP U-TREUE,0.0
188,25 - 29,NRW,39.97,39.99,30.0,0.0,RED INTERNET & PHONE CABLE U,0.0
189,35 - 39,NRW,44.99,44.98,30.0,0.0,RED INTERNET & PHONE CABLE U,0.0
190,45 - 49,NRW,44.98,44.99,30.0,0.0,RED INTERNET & PHONE CABLE U,0.0
191,75 - 79,NRW,34.99,44.99,30.0,0.0,GIGAZUHAUSE KABEL,1.0
192,25 - 29,NRW,34.99,56.98,30.0,0.0,RED INTERNET & PHONE CABLE U,1.0
193,25 - 29,HSN,44.98,39.99,30.0,0.0,VF CABLEMAX,0.0
194,45 - 49,KBW,39.98,34.98,30.0,0.0,RED INTERNET & PHONE CABLE U,1.0
195,40 - 44,NRW,34.99,44.98,30.0,0.0,RED INTERNET & PHONE CABLE U,1.0
196,40 - 44,NRW,47.99,44.99,30.0,0.0,VF RIP U-TREUE,1.0
197,60 - 64,NRW,34.98,34.99,30.0,0.0,VF CABLEMAX,1.0
198,45 - 49,NRW,52.99,34.99,30.0,0.0,VF RIP U-TREUE,0.0
199,50 - 54,KBW,54.98,29.98,30.0,0.0,RED INTERNET & PHONE CABLE U,0.0
200,55 - 59,NRW,42.98,44.98,30.0,0.0,GIGAZUHAUSE KABEL,1.0
201,35 - 39,NRW,39.98,44.98,30.0,0.0,RED INTERNET & PHONE CABLE U,0.0
202,55 - 59,NRW,44.98,49.99,30.0,0.0,RED INTERNET & PHONE CABLE U,0.0
203,30 - 34,KBW,44.98,44.97,30.0,0.0,VF RIP U-TREUE,1.0
204,40 - 44,NRW,39.99,39.99,30.0,0.0,RED INTERNET & PHONE CABLE U,0.0
205,65 - 69,NRW,34.99,34.99,30.0,0.0,VF RIP U-TREUE,0.0
206,80 and over,NRW,34.99,34.98,30.0,0.0,RED INTERNET & PHONE CABLE U,0.0
207,65 - 69,NRW,49.98,49.98,30.0,0.0,VF CABLEMAX,0.0
208,60 - 64,KBW,44.99,29.98,30.0,0.0,RED INTERNET & PHONE CABLE U,1.0
209,55 - 59,NRW,44.99,39.98,30.0,0.0,VF RIP U-TREUE,1.0
210,35 - 39,NRW,44.98,39.99,30.0,0.0,VF CABLEMAX,0.0
211,40 - 44,HSN,39.98,39.98,30.0,0.0,VF RIP U-TREUE,0.0
212,40 - 44,NRW,44.99,39.99,30.0,0.0,RED INTERNET & PHONE CABLE U,1.0
213,25 - 29,KBW,44.97,34.99,30.0,0.0,RED INTERNET & PHONE CABLE U,0.0
215,25 - 29,NRW,29.99,39.99,30.0,0.0,VF CABLEMAX,0.0
216,25 - 29,KBW,34.99,44.99,30.0,0.0,RED INTERNET & PHONE CABLE U,0.0
217,35 - 39,NRW,39.98,44.98,30.0,0.0,RED INTERNET & PHONE CABLE U,1.0
218,45 - 49,KBW,49.99,49.98,30.0,0.0,VF RIP U-TREUE,0.0
219,40 - 44,NRW,29.99,39.99,30.0,0.0,VF CABLEMAX,0.0
220,70 - 74,NRW,49.99,42.99,30.0,0.0,VF RIP U-TREUE,1.0
221,60 - 64,NRW,39.97,37.99,30.0,0.0,VF RIP U-TREUE,0.0
222,65 - 69,NRW,44.99,44.98,30.0,0.0,GIGAZUHAUSE KABEL,1.0
223,35 - 39,NRW,34.98,49.98,30.0,0.0,VF RIP U-TREUE,1.0
224,50 - 54,KBW,44.97,34.99,30.0,0.0,RED INTERNET & PHONE CABLE U,1.0
225,45 - 49,KBW,44.98,37.99,30.0,0.0,RED INTERNET & PHONE CABLE U,1.0
226,80 and over,NRW,39.98,34.98,30.0,0.0,VF RIP U-TREUE,0.0
227,40 - 44,NRW,39.99,39.99,30.0,0.0,RED INTERNET & PHONE CABLE U,1.0
228,70 - 74,KBW,29.99,44.99,30.0,0.0,VF CABLEMAX,1.0
229,35 - 39,HSN,44.99,34.99,30.0,0.0,RED INTERNET & PHONE CABLE U,1.0
230,30 - 34,KBW,44.97,44.99,30.0,0.0,RED INTERNET & PHONE CABLE U,0.0
231,40 - 44,KBW,44.97,44.99,30.0,0.0,RED INTERNET & PHONE CABLE U,0.0
232,40 - 44,NRW,34.99,34.99,30.0,0.0,RED INTERNET & PHONE CABLE U,1.0
233,35 - 39,NRW,49.99,49.99,30.0,0.0,GIGAZUHAUSE KABEL,0.0
234,18 - 24,NRW,34.99,34.99,30.0,0.0,RED INTERNET & PHONE CABLE U,0.0
235,75 - 79,NRW,29.99,44.99,30.0,0.0,RED INTERNET & PHONE CABLE U,1.0
236,40 - 44,NRW,44.98,29.99,30.0,0.0,RED INTERNET & PHONE CABLE U,1.0
237,25 - 29,NRW,44.99,39.97,30.0,0.0,RED INTERNET & PHONE CABLE U,1.0
238,40 - 44,KBW,44.98,34.98,30.0,0.0,GIGAZUHAUSE KABEL,1.0
239,35 - 39,KBW,39.99,34.98,30.0,0.0,VF CABLEMAX,0.0
240,55 - 59,NRW,39.99,42.97,30.0,0.0,RED INTERNET & PHONE CABLE U,1.0
241,18 - 24,NRW,39.99,29.99,30.0,0.0,RED INTERNET & PHONE CABLE U,1.0
242,40 - 44,NRW,44.99,49.98,30.0,0.0,RED INTERNET & PHONE CABLE U,0.0
243,25 - 29,NRW,39.98,44.98,30.0,0.0,RED INTERNET & PHONE CABLE U,0.0
244,25 - 29,NRW,44.99,37.99,30.0,0.0,RED INTERNET & PHONE CABLE U,1.0
245,30 - 34,NRW,34.99,39.99,30.0,0.0,RED INTERNET & PHONE CABLE U,1.0
246,55 - 59,KBW,44.98,44.99,30.0,0.0,VF CABLEMAX,0.0
247,35 - 39,NRW,49.99,44.98,30.0,0.0,RED INTERNET & PHONE CABLE U,0.0
248,25 - 29,NRW,44.99,39.99,30.0,0.0,RED INTERNET & PHONE CABLE U,1.0
249,30 - 34,NRW,44.98,34.98,30.0,0.0,RED INTERNET & PHONE CABLE U,1.0
250,35 - 39,KBW,44.98,49.97,30.0,0.0,GIGAZUHAUSE KABEL,1.0
251,70 - 74,KBW,44.98,39.99,30.0,0.0,VF RIP U-TREUE,0.0
252,35 - 39,NRW,39.99,39.99,30.0,0.0,RED INTERNET & PHONE CABLE U,0.0
253,50 - 54,HSN,39.99,29.98,30.0,0.0,VF CABLEMAX,1.0
254,50 - 54,NRW,39.98,39.99,30.0,0.0,RED INTERNET & PHONE CABLE U,1.0
255,30 - 34,KBW,44.98,44.97,30.0,0.0,VF CABLEMAX,1.0
256,75 - 79,NRW,44.98,43.99,30.0,0.0,RED INTERNET & PHONE CABLE U,1.0
257,70 - 74,KBW,44.98,39.99,30.0,0.0,VF CABLEMAX,1.0
258,55 - 59,NRW,34.98,39.98,30.0,0.0,VF RIP U-TREUE,1.0
259,40 - 44,NRW,49.98,34.99,30.0,0.0,VF CABLEMAX,1.0
260,25 - 29,NRW,44.98,44.98,30.0,0.0,RED INTERNET & PHONE CABLE U,1.0
261,25 - 29,NRW,44.99,39.99,30.0,0.0,VF CABLEMAX,1.0
262,35 - 39,NRW,29.98,44.99,30.0,0.0,VF CABLEMAX,1.0
263,40 - 44,KBW,44.98,44.99,30.0,0.0,GIGAZUHAUSE KABEL,0.0
264,55 - 59,NRW,34.99,44.99,30.0,0.0,RED INTERNET & PHONE CABLE U,0.0
265,50 - 54,KBW,29.97,39.99,30.0,0.0,GIGAZUHAUSE KABEL,0.0
266,25 - 29,KBW,49.98,44.99,30.0,0.0,RED INTERNET & PHONE CABLE U,0.0
267,40 - 44,NRW,29.99,49.99,30.0,0.0,RED INTERNET & PHONE CABLE U,1.0
268,25 - 29,NRW,49.98,39.99,30.0,0.0,RED INTERNET & PHONE CABLE U,1.0
270,65 - 69,NRW,39.98,39.98,30.0,0.0,RED INTERNET & PHONE CABLE U,0.0
271,70 - 74,KBW,39.99,39.97,30.0,0.0,VF RIP U-TREUE,1.0
272,65 - 69,KBW,44.98,74.99,30.0,0.0,GIGAZUHAUSE TREUE B,0.0
273,55 - 59,NRW,39.97,39.99,30.0,0.0,VF RIP U-TREUE,1.0
274,35 - 39,NRW,44.98,39.99,30.0,0.0,VF CABLEMAX,1.0
275,60 - 64,NRW,44.98,44.98,30.0,0.0,RED INTERNET & PHONE CABLE U,0.0
276,25 - 29,KBW,39.99,34.99,30.0,0.0,VF RIP U-TREUE,0.0
277,40 - 44,NRW,39.98,44.98,30.0,0.0,RED INTERNET & PHONE CABLE U,0.0
278,35 - 39,NRW,48.99,34.99,30.0,0.0,VF RIP U-TREUE,0.0
279,60 - 64,HSN,39.97,58.99,30.0,0.0,RED INTERNET & PHONE CABLE U,0.0
280,25 - 29,NRW,44.98,34.99,30.0,0.0,VF CABLEMAX,0.0
281,40 - 44,NRW,44.98,49.98,30.0,0.0,RED INTERNET & PHONE CABLE U,1.0
282,55 - 59,KBW,39.98,49.99,30.0,0.0,RED INTERNET & PHONE CABLE U,0.0
283,25 - 29,NRW,43.98,54.98,30.0,0.0,RED INTERNET & PHONE CABLE U,0.0
284,60 - 64,KBW,49.99,44.99,30.0,0.0,VF CABLEMAX,1.0
285,35 - 39,KBW,44.98,49.99,30.0,0.0,VF RIP U-TREUE,1.0
286,35 - 39,KBW,44.99,44.97,30.0,0.0,RED INTERNET & PHONE CABLE U,1.0
287,60 - 64,NRW,44.98,44.99,30.0,0.0,RED INTERNET & PHONE CABLE U,1.0
288,35 - 39,KBW,44.98,42.99,30.0,0.0,GIGAZUHAUSE KABEL,0.0
289,55 - 59,NRW,49.99,44.98,30.0,0.0,RED INTERNET & PHONE CABLE U,1.0
290,40 - 44,KBW,44.98,39.98,30.0,0.0,VF CABLEMAX,1.0
291,70 - 74,NRW,34.99,44.99,30.0,0.0,RED INTERNET & PHONE CABLE U,1.0
292,18 - 24,KBW,37.99,39.99,30.0,0.0,VF RIP U-TREUE,0.0
293,35 - 39,KBW,34.99,39.99,30.0,0.0,RED INTERNET & PHONE CABLE U,1.0
294,40 - 44,KBW,44.98,44.96,30.0,0.0,RED INTERNET & PHONE CABLE U,0.0
295,40 - 44,KBW,44.98,34.99,30.0,0.0,RED INTERNET & PHONE CABLE U,1.0
296,30 - 34,KBW,34.99,39.99,30.0,0.0,VF RIP U-TREUE,0.0
