,customer_age_class,region,basket_package_price_disc,internet_package_price_disc,basket_days_until_contract_end,count_previous_cancellations_0_18,internet_product_name,flag_churn
243,35 - 39,KBW,39.99,44.98,30.0,0.0,GIGAZUHAUSE KABEL,0.0
244,40 - 44,NRW,32.97,39.99,30.0,0.0,GIGAZUHAUSE KABEL,1.0
245,50 - 54,NRW,39.99,44.99,30.0,0.0,RED INTERNET & PHONE CABLE U,1.0
246,60 - 64,HSN,42.99,34.99,30.0,0.0,RED INTERNET & PHONE CABLE U,1.0
247,35 - 39,NRW,49.99,39.99,30.0,0.0,VF RIP U-TREUE,0.0
248,55 - 59,KBW,42.98,34.99,30.0,0.0,VF RIP U-TREUE,0.0
250,18 - 24,KBW,49.99,39.99,30.0,0.0,RED INTERNET & PHONE CABLE U,1.0
252,30 - 34,NRW,54.99,44.98,30.0,0.0,VF CABLEMAX,1.0
253,25 - 29,NRW,34.98,39.99,30.0,0.0,GIGAZUHAUSE KABEL,1.0
254,35 - 39,NRW,44.99,44.99,30.0,0.0,VF CABLEMAX,1.0
255,30 - 34,KBW,42.99,29.97,30.0,0.0,GIGAZUHAUSE KABEL,1.0
256,50 - 54,NRW,44.99,39.99,30.0,0.0,RED INTERNET & PHONE CABLE U,1.0
257,60 - 64,KBW,39.98,39.98,30.0,0.0,RED INTERNET & PHONE CABLE U,0.0
258,80 and over,KBW,39.98,39.98,30.0,0.0,VF RIP U-TREUE,0.0
259,80 and over,KBW,39.99,37.98,30.0,0.0,RED INTERNET & PHONE CABLE U,0.0
260,30 - 34,NRW,39.99,39.99,30.0,0.0,RED INTERNET & PHONE CABLE U,1.0
261,30 - 34,NRW,39.99,34.98,30.0,0.0,VF RIP U-TREUE,1.0
262,55 - 59,NRW,49.98,39.99,30.0,0.0,RED INTERNET & PHONE CABLE U,0.0
263,35 - 39,NRW,39.99,44.99,30.0,0.0,GIGAZUHAUSE KABEL,0.0
264,60 - 64,NRW,44.99,39.99,30.0,0.0,VF RIP U-TREUE,1.0
265,35 - 39,NRW,39.99,34.98,30.0,0.0,RED INTERNET & PHONE CABLE U,1.0
266,80 and over,KBW,39.99,39.99,30.0,0.0,RED INTERNET & PHONE CABLE U,1.0
267,50 - 54,NRW,49.99,54.98,30.0,0.0,RED INTERNET & PHONE CABLE U,0.0
268,30 - 34,KBW,44.99,39.99,30.0,0.0,VF RIP U-TREUE,1.0
269,35 - 39,NRW,34.99,37.98,30.0,0.0,RED INTERNET & PHONE CABLE U,0.0
270,55 - 59,NRW,29.98,29.99,30.0,0.0,RED INTERNET & PHONE CABLE U,0.0
271,35 - 39,KBW,44.99,44.99,30.0,0.0,VF RIP U-TREUE,1.0
272,35 - 39,KBW,39.99,39.98,30.0,0.0,VF RIP U-TREUE,0.0
273,45 - 49,NRW,34.98,49.99,30.0,0.0,RED INTERNET & PHONE CABLE U,1.0
274,35 - 39,NRW,34.97,49.99,30.0,0.0,RED INTERNET & PHONE CABLE U,0.0
275,30 - 34,NRW,34.99,39.98,30.0,0.0,VF CABLEMAX,0.0
276,55 - 59,KBW,44.98,39.98,30.0,0.0,RED INTERNET & PHONE CABLE U,0.0
277,40 - 44,KBW,49.96,37.99,30.0,0.0,VF CABLEMAX,1.0
278,30 - 34,KBW,39.99,44.99,30.0,0.0,GIGAZUHAUSE KABEL,1.0
279,25 - 29,KBW,44.98,29.97,30.0,0.0,RED INTERNET & PHONE CABLE U,1.0
280,25 - 29,NRW,39.99,44.99,30.0,0.0,RED INTERNET & PHONE CABLE U,1.0
281,45 - 49,NRW,34.98,49.98,30.0,0.0,VF RIP U-TREUE,1.0
282,40 - 44,NRW,39.99,44.98,30.0,0.0,RED INTERNET & PHONE CABLE U,1.0
283,35 - 39,NRW,39.99,34.99,30.0,0.0,VF RIP U-TREUE,0.0
284,45 - 49,NRW,44.98,29.99,30.0,0.0,VF RIP U-TREUE,1.0
285,40 - 44,NRW,34.99,34.99,30.0,0.0,RED INTERNET & PHONE CABLE U,1.0
286,50 - 54,KBW,44.99,39.98,30.0,0.0,RED INTERNET & PHONE CABLE U,0.0
287,18 - 24,NRW,49.98,44.99,30.0,0.0,VF RIP U-TREUE,0.0
288,55 - 59,KBW,39.99,44.98,30.0,0.0,RED INTERNET & PHONE CABLE U,0.0
289,55 - 59,KBW,34.99,39.99,30.0,0.0,RED INTERNET & PHONE CABLE U,1.0
290,45 - 49,HSN,39.99,44.99,30.0,0.0,RED INTERNET & PHONE CABLE U,0.0
291,55 - 59,NRW,39.99,49.99,30.0,0.0,RED INTERNET & PHONE CABLE U,0.0
292,25 - 29,NRW,55.99,44.99,30.0,0.0,VF CABLEMAX,1.0
