customer_age_class,region,count_previous_cancellations_0_18,basket_months_since_contract_start_date,basket_days_until_contract_end,basket_months_until_contract_end,basket_package_price_disc,basket_product_category,basket_package_price_list,internet_package_price_disc,internet_product_name,internet_diff_churn_months,internet_days_until_initial_contract_end,internet_months_since_contract_start_date,flag_churn
25 - 29,NRW,0,12,394,12,44.970000000,2PLAY,44.970000000,44.970000000,GIGAZUHAUSE 100 KABEL,0,394,12,0
80 and over,NRW,0,30,30,0,45.970000000,VTV INTERNATIONAL,62.950000000,24.990000000,RED INTERNET & PHONE 50 CABLE U,0,0,30,0
60 - 64,NRW,0,50,30,0,49.980000000,N/A,54.980000000,39.990000000,VF RIP 250 U-TREUE,0,0,50,0
40 - 44,NRW,0,44,30,0,44.980000000,2PLAY,44.980000000,44.980000000,RED INTERNET UND PHONE 250 CABLE U,0,0,44,1
70 - 74,KBW,0,89,30,0,29.980000000,TV START,29.980000000,24.990000000,INTERNET COMFORT 60,0,0,66,0
60 - 64,KBW,0,100,30,0,47.960000000,2PLAY,47.960000000,47.960000000,RED INTERNET UND PHONE 250 CABLE U,0,0,100,1
35 - 39,NRW,1,22,72,2,39.970000000,2PLAY,44.970000000,39.970000000,VF CABLEMAX 1000,11,72,22,1
35 - 39,HSN,0,30,30,0,34.990000000,2PLAY,34.990000000,34.990000000,RED INTERNET & PHONE 50 CABLE U,0,0,30,1
25 - 29,NRW,1,21,93,3,44.980000000,SUPERWLAN,44.980000000,44.980000000,RED INTERNET UND PHONE 250 CABLE U,15,93,21,0
70 - 74,KBW,0,21,485,15,26.980000000,N/A,29.980000000,22.990000000,GIGAZUHAUSE 50 TREUE B,0,113,21,0
60 - 64,HSN,0,168,30,0,56.850000000,DIGITAL KABELANSCHLUSS,56.850000000,35.860000000,3PLAY 30MBIT 4ALL,0,0,168,1
30 - 34,NRW,0,34,30,0,39.990000000,2PLAY,39.990000000,39.990000000,RED INTERNET & PHONE 100 CABLE U,0,0,34,0
75 - 79,NRW,0,185,30,0,56.850000000,DIGITAL KABELANSCHLUSS,56.850000000,35.860000000,3PLAY 30MBIT 4ALL,0,0,168,0
40 - 44,KBW,0,44,143,4,62.960000000,HD OPTION,72.960000000,37.980000000,GIGAZUHAUSE 250 TREUE B,0,143,20,0
70 - 74,NRW,0,42,30,0,34.990000000,SUPERWLAN,34.990000000,34.990000000,RED INTERNET UND PHONE 50 CABLE U,0,0,42,1
70 - 74,NRW,0,365,30,0,84.970000000,HD OPTION,84.970000000,44.980000000,VF CABLEMAX 1000,0,0,53,0
40 - 44,KBW,0,41,30,0,109.960000000,2PLAY,109.960000000,109.960000000,RED INTERNET UND PHONE 50 CABLE U,0,0,41,0
65 - 69,NRW,1,152,567,18,77.920000000,TV START,77.920000000,44.990000000,GIGAZUHAUSE 250 KABEL,17,189,18,1
35 - 39,KBW,0,34,30,0,44.980000000,2PLAY,44.980000000,44.980000000,VF CABLEMAX 1000,0,0,34,0
25 - 29,NRW,0,40,30,0,38.980000000,2PLAY,38.980000000,38.980000000,RED INTERNET UND PHONE 50 CABLE U,0,0,40,1
55 - 59,NRW,0,66,30,0,39.990000000,N/A,39.990000000,39.990000000,VF RIP 250 U-TREUE,0,0,66,0
75 - 79,NRW,0,32,30,0,44.980000000,2PLAY,44.980000000,44.980000000,VF CABLEMAX 1000,0,0,32,0
18 - 24,KBW,0,23,60,1,34.990000000,SUPERWLAN,34.990000000,34.990000000,RED INTERNET & PHONE 50 CABLE U,0,60,23,1
25 - 29,HSN,0,16,263,8,62.980000000,SUPERWLAN,62.980000000,62.980000000,GIGAZUHAUSE 1000 KABEL,0,263,16,1
65 - 69,NRW,0,63,30,0,74.970000000,DIGITAL KABELANSCHLUSS,74.970000000,59.980000000,3PLAY JUMP 150,0,0,63,0
60 - 64,KBW,0,177,30,0,49.960000000,N/A,49.960000000,49.960000000,3PLAY TREUE 100,0,0,83,1
35 - 39,NRW,0,17,231,7,32.990000000,2PLAY,32.990000000,32.990000000,GIGAZUHAUSE 250 TREUE B,0,231,17,1
45 - 49,NRW,0,103,30,0,32.970000000,2PLAY,32.970000000,32.970000000,RED INTERNET UND PHONE 50 CABLE U,0,0,103,0
30 - 34,KBW,0,29,30,0,43.980000000,2PLAY,43.980000000,43.980000000,RED INTERNET & PHONE 100 CABLE U,0,0,29,1
25 - 29,NRW,0,27,30,0,44.980000000,2PLAY,44.980000000,44.980000000,VF CABLEMAX 1000,0,0,27,1
40 - 44,NRW,0,20,140,4,63.980000000,SUPERWLAN,63.980000000,63.980000000,GIGAZUHAUSE 1000 KABEL,0,140,20,1
25 - 29,HSN,0,25,30,0,34.990000000,SUPERWLAN,34.990000000,34.990000000,RED INTERNET & PHONE 50 CABLE U,0,0,25,1
18 - 24,KBW,0,41,30,0,34.990000000,2PLAY,34.990000000,34.990000000,RED INTERNET UND PHONE 50 CABLE U,0,0,41,0
50 - 54,NRW,0,254,30,0,60.980000000,ANALOG KABELANSCHLUSS,60.980000000,39.990000000,VF RIP 250 U-TREUE,0,0,60,0
75 - 79,NRW,0,40,30,0,44.980000000,2PLAY,44.980000000,44.980000000,RED INTERNET UND PHONE 250 CABLE U,0,0,40,1
60 - 64,HSN,0,92,30,0,42.970000000,2PLAY,42.970000000,42.970000000,GIGAZUHAUSE 250 KABEL,0,0,92,1
65 - 69,NRW,0,23,53,1,52.960000000,2PLAY,52.960000000,52.960000000,VF CABLEMAX 1000,0,53,23,0
18 - 24,NRW,0,22,88,2,48.970000000,2PLAY,48.970000000,48.970000000,VF CABLEMAX 1000,0,88,22,1
75 - 79,KBW,0,63,30,0,49.990000000,N/A,49.990000000,49.990000000,RED INTERNET UND PHONE 500 CABLE U,0,0,40,0
40 - 44,HSN,3,35,30,0,49.970000000,2PLAY,49.970000000,49.970000000,VF CABLEMAX 1000,0,0,35,0
18 - 24,NRW,0,21,99,3,39.980000000,2PLAY,39.980000000,39.980000000,VF CABLEMAX 1000,0,99,21,0
25 - 29,NRW,0,30,587,19,54.960000000,DIGITAL KABELANSCHLUSS,54.960000000,44.980000000,RED INTERNET & PHONE 250 CABLE U,0,0,30,0
65 - 69,NRW,0,35,30,0,59.980000000,2PLAY,59.980000000,59.980000000,RED INTERNET UND PHONE 1000 CABLE U,0,0,35,0
40 - 44,KBW,0,67,680,22,46.980000000,N/A,46.980000000,39.990000000,VF RIP 250 U-TREUE,0,0,67,0
18 - 24,KBW,0,37,30,0,42.980000000,SUPERWLAN,42.980000000,42.980000000,RED INTERNET UND PHONE 250 CABLE U,0,0,37,1
45 - 49,KBW,0,134,30,0,58.980000000,DIGITAL KABELANSCHLUSS,58.980000000,37.990000000,VF RIP 250 U-TREUE,0,0,43,1
75 - 79,NRW,0,23,31,1,21.980000000,2PLAY,24.980000000,21.980000000,EAZY 50,0,31,23,0
50 - 54,HSN,0,21,115,3,29.990000000,2PLAY,29.990000000,29.990000000,RED INTERNET & PHONE 50 CABLE U,0,115,21,1
30 - 34,NRW,0,19,183,5,27.990000000,2PLAY,27.990000000,27.990000000,RIP 50 CABLE U TREUE,0,183,19,1
30 - 34,HSN,0,59,30,0,11.980000000,2PLAY,11.980000000,11.980000000,EAZY 20,0,0,59,0
35 - 39,NRW,0,43,30,0,44.980000000,2PLAY,44.980000000,44.980000000,RED INTERNET UND PHONE 250 CABLE U,0,0,43,0
60 - 64,NRW,0,29,30,0,73.970000000,HD OPTION,73.970000000,58.980000000,RED INTERNET & PHONE 1000 CABLE U,0,0,29,0
60 - 64,NRW,0,203,30,0,42.880000000,DIGITAL KABELANSCHLUSS,42.880000000,38.980000000,RED INTERNET UND PHONE 50 CABLE U,0,0,37,0
55 - 59,KBW,0,22,72,2,44.980000000,SUPERWLAN,44.980000000,44.980000000,RED INTERNET UND PHONE 250 CABLE U,0,72,22,1
40 - 44,NRW,3,17,212,7,44.980000000,SUPERWLAN,44.980000000,44.980000000,VF CABLEMAX 1000,0,212,17,0
30 - 34,KBW,0,29,30,0,44.980000000,SUPERWLAN,44.980000000,44.980000000,VF CABLEMAX 1000,0,0,29,0
45 - 49,KBW,0,176,30,0,63.970000000,ANALOG KABELANSCHLUSS,63.970000000,42.980000000,VF RIP 250 U-TREUE,0,0,44,0
35 - 39,NRW,0,40,30,0,29.990000000,2PLAY,29.990000000,29.990000000,VF RIP 100 U-TREUE,0,0,40,0
40 - 44,KBW,0,12,376,12,47.980000000,SUPERWLAN,47.980000000,47.980000000,GIGAZUHAUSE 250 KABEL,0,376,12,0
60 - 64,KBW,0,132,30,0,52.960000000,N/A,52.960000000,42.980000000,VF RIP 250 U-TREUE,0,0,43,0
60 - 64,KBW,0,32,30,0,34.990000000,SUPERWLAN,34.990000000,34.990000000,RED INTERNET & PHONE 50 CABLE U,0,0,32,1
30 - 34,HSN,0,15,283,9,47.980000000,SUPERWLAN,47.980000000,47.980000000,GIGAZUHAUSE 250 KABEL,0,283,15,1
35 - 39,NRW,0,41,30,0,34.990000000,2PLAY,34.990000000,34.990000000,RED INTERNET UND PHONE 50 CABLE U,0,0,41,1
50 - 54,HSN,0,45,30,0,74.980000000,DIGITAL KABELANSCHLUSS,74.980000000,54.990000000,RED INTERNET UND PHONE 1000 CABLE U,0,0,45,0
30 - 34,NRW,0,70,671,22,69.950000000,HD OPTION,69.950000000,49.990000000,RED INTERNET UND PHONE 500 CABLE U,0,0,70,0
45 - 49,KBW,0,43,30,0,54.990000000,2PLAY,54.990000000,54.990000000,RED INTERNET UND PHONE 1000 CABLE U,0,0,43,0
60 - 64,KBW,0,21,115,3,94.930000000,VF PREMIUM,104.930000000,52.960000000,VF CABLEMAX 1000,0,115,21,0
60 - 64,NRW,0,75,30,0,54.960000000,HD OPTION,54.960000000,44.980000000,VF CABLEMAX 1000,0,3,24,0
50 - 54,HSN,0,21,109,3,49.990000000,SUPERWLAN,49.990000000,49.990000000,GIGAZUHAUSE CABLEMAX 1000,0,109,21,0
80 and over,KBW,0,179,121,3,65.340000000,SUPERWLAN,65.340000000,44.980000000,VF CABLEMAX 1000,0,121,21,0
40 - 44,NRW,0,44,518,17,44.970000000,SUPERWLAN,44.970000000,34.990000000,RED INTERNET UND PHONE 50 CABLE U,0,0,44,0
40 - 44,NRW,0,44,30,0,34.990000000,2PLAY,34.990000000,34.990000000,RED INTERNET UND PHONE 50 CABLE U,0,0,44,0
40 - 44,KBW,0,28,170,5,74.980000000,SUPERWLAN,74.980000000,54.990000000,RED INTERNET UND PHONE 1000 CABLE U,0,0,28,1
25 - 29,NRW,0,13,334,11,62.980000000,SUPERWLAN,62.980000000,62.980000000,GIGAZUHAUSE 1000 KABEL,0,334,13,1
35 - 39,NRW,0,90,30,0,29.990000000,1PLAY,29.990000000,29.990000000,INTERNET PREMIUM 120,0,0,90,0
25 - 29,HSN,0,28,30,0,44.980000000,2PLAY,44.980000000,44.980000000,RED INTERNET UND PHONE 250 CABLE U,0,0,28,0
75 - 79,NRW,1,20,149,4,42.980000000,HD OPTION,47.980000000,32.990000000,GIGAZUHAUSE 250 TREUE B,13,149,20,1
60 - 64,KBW,0,137,30,0,37.780000000,2PLAY,37.780000000,37.780000000,RED INTERNET UND PHONE 250 CABLE U,0,0,137,0
18 - 24,KBW,0,17,242,7,44.990000000,SUPERWLAN,44.990000000,44.990000000,GIGAZUHAUSE 250 KABEL,0,242,17,0
70 - 74,NRW,0,44,30,0,32.990000000,2PLAY,32.990000000,32.990000000,VF RIP 250 U-TREUE,0,0,44,0
75 - 79,KBW,0,20,123,4,72.970000000,VF PREMIUM,77.970000000,32.990000000,GIGAZUHAUSE 250 TREUE B,0,123,20,1
18 - 24,KBW,0,39,30,0,44.980000000,SUPERWLAN,44.980000000,44.980000000,RED INTERNET UND PHONE 250 CABLE U,0,0,39,0
18 - 24,NRW,0,11,30,0,0E-9,1PLAY,0E-9,0E-9,MMA,0,0,11,1
60 - 64,NRW,0,211,30,0,79.200000000,HIGHLIGHTS,79.200000000,58.840000000,3PLAY PREMIUM 100,0,0,148,1
35 - 39,HSN,0,53,212,7,32.990000000,N/A,32.990000000,32.990000000,GIGAZUHAUSE 250 TREUE B,0,212,17,1
30 - 34,HSN,0,22,80,2,58.980000000,SUPERWLAN,58.980000000,58.980000000,RED INTERNET UND PHONE 1000 CABLE U,0,80,22,1
75 - 79,NRW,0,41,30,0,29.990000000,2PLAY,29.990000000,29.990000000,RED INTERNET UND PHONE 50 CABLE U,0,0,41,0
18 - 24,NRW,0,34,30,0,38.980000000,2PLAY,38.980000000,38.980000000,RED INTERNET UND PHONE 50 CABLE U,0,0,34,1
55 - 59,KBW,0,37,30,0,39.990000000,2PLAY,39.990000000,39.990000000,VF RIP 250 U-TREUE,0,0,37,1
55 - 59,HSN,0,40,30,0,169.920000000,2PLAY,169.920000000,169.920000000,RED INTERNET UND PHONE 250 CABLE U,0,0,40,0
45 - 49,NRW,0,32,30,0,47.960000000,2PLAY,47.960000000,47.960000000,VF CABLEMAX 1000,0,0,32,1
70 - 74,NRW,0,33,30,0,27.990000000,SUPERWLAN,32.990000000,27.990000000,VF RIP 250 U-TREUE,0,0,33,0
80 and over,KBW,0,211,30,0,58.770000000,ANALOG KABELANSCHLUSS,58.770000000,37.780000000,RED INTERNET UND PHONE 250 CABLE U,0,0,186,0
70 - 74,NRW,0,114,30,0,47.970000000,2PLAY,47.970000000,47.970000000,GIGAZUHAUSE 250 KABEL,0,0,114,0
30 - 34,KBW,0,71,30,0,42.980000000,2PLAY,42.980000000,42.980000000,VF RIP 250 U-TREUE,0,0,71,1
65 - 69,NRW,0,22,71,2,37.990000000,SUPERWLAN,37.990000000,37.990000000,VF RIP 250 U-TREUE,0,71,22,1
70 - 74,NRW,0,39,30,0,29.990000000,SUPERWLAN,29.990000000,29.990000000,VF RIP 100 U-TREUE,0,0,39,1
45 - 49,NRW,0,32,30,0,63.970000000,2PLAY,63.970000000,63.970000000,RED INTERNET & PHONE 1000 CABLE U,0,0,32,1
30 - 34,NRW,0,53,30,0,44.980000000,2PLAY,44.980000000,44.980000000,RED INTERNET UND PHONE 250 CABLE U,0,0,53,1
18 - 24,HSN,0,52,30,0,34.990000000,SUPERWLAN,34.990000000,34.990000000,RED INTERNET UND PHONE 50 CABLE U,0,0,52,1
80 and over,NRW,0,181,30,0,0E-9,N/A,0E-9,0E-9,MMA,0,0,20,0
50 - 54,KBW,0,41,30,0,44.980000000,2PLAY,44.980000000,44.980000000,VF RIP 250 U-TREUE,0,0,41,1
60 - 64,HSN,0,177,30,0,55.990000000,DIGITAL KABELANSCHLUSS,55.990000000,35.000000000,3PLAY 30MBIT 4ALL,0,0,99,0
55 - 59,KBW,0,98,30,0,32.990000000,SUPERWLAN,32.990000000,32.990000000,VF RIP 100 U-TREUE,0,0,51,0
40 - 44,NRW,0,112,30,0,37.980000000,BOOSTER STANDARD,37.980000000,34.990000000,RED INTERNET UND PHONE 50 CABLE U,0,0,112,1
25 - 29,KBW,0,14,304,10,47.980000000,SUPERWLAN,47.980000000,47.980000000,GIGAZUHAUSE 250 KABEL,0,304,14,0
60 - 64,NRW,0,212,30,0,68.780000000,DIGITAL KABELANSCHLUSS,68.780000000,48.420000000,3PLAY COMFORT 120,0,0,102,0
75 - 79,NRW,0,47,30,0,59.980000000,2PLAY,59.980000000,59.980000000,RED INTERNET UND PHONE 1000 CABLE U,0,0,47,1
45 - 49,KBW,0,41,30,0,54.990000000,SUPERWLAN,54.990000000,54.990000000,RED INTERNET UND PHONE 1000 CABLE U,0,0,41,1
not available,NRW,0,193,30,0,0E-9,1PLAY,0E-9,0E-9,MMA,0,0,193,0
50 - 54,KBW,0,50,30,0,44.980000000,SUPERWLAN,44.980000000,44.980000000,VF CABLEMAX 1000,0,0,50,0
25 - 29,KBW,0,30,30,0,54.990000000,2PLAY,54.990000000,54.990000000,RED INTERNET & PHONE 1000 CABLE U,0,0,30,1
80 and over,NRW,0,150,701,23,51.830000000,DIGITAL KABELANSCHLUSS,51.830000000,38.840000000,3PLAY 30MBIT 4ALL,0,0,150,0
30 - 34,HSN,0,23,38,1,44.980000000,SUPERWLAN,44.980000000,44.980000000,RED INTERNET UND PHONE 250 CABLE U,0,38,23,1
60 - 64,KBW,0,65,30,0,44.980000000,3PLAY,44.980000000,44.980000000,3PLAY VORTEIL 150,0,0,65,1
30 - 34,NRW,0,34,30,0,44.980000000,SUPERWLAN,44.980000000,44.980000000,VF CABLEMAX 1000,0,0,34,1
25 - 29,NRW,0,26,30,0,44.980000000,SUPERWLAN,44.980000000,44.980000000,RED INTERNET UND PHONE 250 CABLE U,0,0,26,0
80 and over,KBW,0,211,30,0,58.140000000,ANALOG KABELANSCHLUSS,58.140000000,37.780000000,GIGAZUHAUSE 100 KABEL,0,0,211,0
45 - 49,NRW,0,17,235,7,79.980000000,SUPERWLAN,79.980000000,59.990000000,GIGAZUHAUSE 1000 KABEL,0,235,17,1
70 - 74,NRW,0,186,30,0,42.860000000,3PLAY,42.860000000,42.860000000,3PLAY 30MBIT 4ALL,0,0,186,1
25 - 29,KBW,0,208,30,0,65.340000000,ANALOG KABELANSCHLUSS,65.340000000,44.980000000,VF CABLEMAX 500,0,0,50,0
55 - 59,KBW,0,28,30,0,37.990000000,SUPERWLAN,37.990000000,37.990000000,VF RIP 250 U-TREUE,0,0,28,1
40 - 44,NRW,0,22,76,2,44.980000000,2PLAY,44.980000000,44.980000000,VF CABLEMAX 1000,0,76,22,1
25 - 29,NRW,0,28,30,0,58.980000000,2PLAY,58.980000000,58.980000000,RED INTERNET UND PHONE 1000 CABLE U,0,0,28,1
60 - 64,HSN,0,0,30,0,39.980000000,2PLAY,39.980000000,39.980000000,VF CABLEMAX 1000,0,0,0,1
55 - 59,NRW,0,66,30,0,42.980000000,N/A,42.980000000,42.980000000,VF RIP 250 U-TREUE,0,0,66,1
35 - 39,KBW,0,140,80,2,58.970000000,SUPERWLAN,58.970000000,34.990000000,RED INTERNET & PHONE 50 CABLE U,0,80,22,1
25 - 29,KBW,0,40,30,0,44.980000000,2PLAY,44.980000000,44.980000000,RED INTERNET UND PHONE 250 CABLE U,0,0,40,0
65 - 69,KBW,0,21,109,3,44.980000000,SUPERWLAN,44.980000000,44.980000000,RED INTERNET UND PHONE 250 CABLE U,0,109,21,0
60 - 64,HSN,0,31,30,0,109.960000000,2PLAY,109.960000000,109.960000000,VF RIP 100 U-TREUE,0,0,31,1
35 - 39,KBW,0,51,30,0,39.990000000,2PLAY,39.990000000,39.990000000,VF RIP 250 U-TREUE,0,0,51,0
30 - 34,KBW,0,42,30,0,77.930000000,VF PREMIUM,87.930000000,42.970000000,RED INTERNET UND PHONE 250 CABLE U,0,0,42,0
55 - 59,NRW,0,19,0,0,64.980000000,SUPERWLAN,64.980000000,44.990000000,GIGAZUHAUSE 250 KABEL,0,0,13,0
30 - 34,KBW,0,58,30,0,37.980000000,2PLAY,37.980000000,37.980000000,2PLAY TREUE 200,0,0,58,0
30 - 34,HSN,0,43,30,0,34.990000000,SUPERWLAN,34.990000000,34.990000000,RED INTERNET UND PHONE 50 CABLE U,0,0,43,1
50 - 54,KBW,0,31,30,0,39.990000000,SUPERWLAN,39.990000000,39.990000000,RED INTERNET & PHONE 100 CABLE U,0,0,31,1
50 - 54,NRW,0,112,30,0,39.980000000,TV START,44.980000000,34.990000000,RED INTERNET UND PHONE 500 CABLE U,0,0,52,1
80 and over,KBW,0,148,30,0,27.790000000,2PLAY,27.790000000,27.790000000,2PLAY 30MBIT 4ALL,0,0,148,1
70 - 74,KBW,0,27,30,0,34.990000000,2PLAY,34.990000000,34.990000000,RED INTERNET & PHONE 50 CABLE U,0,0,27,0
35 - 39,NRW,0,37,30,0,53.960000000,2PLAY,53.960000000,53.960000000,RED INTERNET UND PHONE 250 CABLE U,0,0,37,1
50 - 54,NRW,0,36,30,0,29.990000000,2PLAY,29.990000000,29.990000000,VF RIP 100 U-TREUE,0,0,36,0
50 - 54,HSN,0,78,30,0,149.960000000,N/A,149.960000000,149.960000000,VF RIP 250 U-TREUE,0,0,55,0
30 - 34,NRW,0,29,30,0,44.980000000,2PLAY,44.980000000,44.980000000,VF CABLEMAX 1000,0,0,29,1
40 - 44,KBW,0,91,30,0,50.980000000,DIGITAL KABELANSCHLUSS,50.980000000,29.990000000,INTERNET PREMIUM 120,0,0,67,0
35 - 39,NRW,0,48,30,0,39.990000000,2PLAY,39.990000000,39.990000000,RED INTERNET UND PHONE 100 CABLE U,0,0,48,0
25 - 29,NRW,0,45,30,0,72.970000000,HD OPTION,77.970000000,62.980000000,GIGAZUHAUSE 1000 KABEL,0,0,14,0
50 - 54,HSN,1,25,30,0,49.970000000,2PLAY,49.970000000,49.970000000,VF CABLEMAX 1000,10,0,25,1
50 - 54,NRW,0,202,30,0,71.200000000,SUPERWLAN,71.200000000,50.840000000,3PLAY FLY 400,0,0,88,0
30 - 34,NRW,0,40,30,0,54.990000000,2PLAY,54.990000000,54.990000000,RED INTERNET UND PHONE 1000 CABLE U,0,0,40,1
50 - 54,NRW,0,175,639,21,51.370000000,N/A,51.370000000,39.990000000,VF RIP 250 U-TREUE,0,0,73,0
60 - 64,KBW,0,37,31,1,94.950000000,VF PREMIUM,94.950000000,49.970000000,VF CABLEMAX 1000,0,0,28,0
