region,cohort,flag_churn,customer_age_class,count_internet_previous_cancellations_0_18,basket_months_since_contract_start_date,count_transactions_Online,internet_product_name,internet_diff_churn_months,internet_all_outofcontract,calls_inbound_waiting_time_inqueue_0_6,calls_inbound_talk_time_0_6,count_calls_inbound_0_6,internet_months_since_contract_start_date,internet_months_until_contract_end,internet_days_until_initial_contract_end,campaign_dima_email_0_18,campaign_dima_service_0_18,campaign_dima_xsell_0_18,campaign_dima_0_18,contract_summaries_csconfirmed_0_3,basket_package_price_list,internet_package_price_list,internet_package_price_disc,basket_package_price_disc,internet_cons_package_price_list,basket_months_until_contract_end,basket_days_until_contract_end,non_internet_months_until_contract_end,non_internet_days_until_contract_end,internet_days_until_contract_end,non_internet_months_since_contract_start_date,count_previous_cancellations_0_18,basket_proportion_disc,internet_product_category,count_transactions_Commercial_Operations,basket_product_category,internet_down_speed,basket_days_until_next_promo_end,count_transactions_other,number_cust_at_lastamp_segment,number_cust_at_node_segment
NRW,2024-08-01,1,45 - 49,0,36,3,RED INTERNET UND PHONE 1000 CABLE U,0,1,0,0,0,36,0,0,6,1,0,1,0,52.990000000,52.990000000,52.990000000,52.990000000,52.990000000,0,30,0,0,30,0,0,0E-9,2PLAY,0,2PLAY,1000,0,1,33,148
HSN,2024-08-01,1,65 - 69,0,20,5,GIGAZUHAUSE 1000 KABEL,0,0,0,0,0,20,4,137,6,1,0,1,0,67.970000000,67.970000000,67.970000000,67.970000000,67.970000000,4,137,0,0,137,0,0,0E-9,2PLAY,1,2PLAY,1000,0,0,30,938
NRW,2024-08-01,1,60 - 64,0,85,2,VF RIP 100 U-TREUE,0,1,0,0,0,51,0,0,11,2,0,4,0,62.970000000,32.990000000,32.990000000,57.970000000,32.990000000,0,30,0,30,30,85,0,0.080000000,2PLAY,1,N/A,100,1500,1,22,330
NRW,2024-08-01,0,25 - 29,0,52,0,VF CABLEMAX 500,0,1,0,0,0,52,0,0,6,2,0,2,0,44.980000000,44.980000000,44.980000000,44.980000000,44.980000000,0,30,0,30,30,52,0,0E-9,2PLAY,2,SUPERWLAN,500,0,0,27,821
KBW,2024-08-01,0,55 - 59,0,12,0,GIGAZUHAUSE 1000 KABEL,0,0,0,0,0,12,12,380,5,0,0,0,0,62.980000000,62.980000000,62.980000000,62.980000000,62.980000000,12,380,0,30,380,12,0,0E-9,2PLAY,0,SUPERWLAN,1000,0,0,16,483
NRW,2024-08-01,0,25 - 29,0,52,0,VF RIP 250 U-TREUE,0,1,0,0,0,52,0,0,8,3,0,3,0,39.990000000,39.990000000,39.990000000,39.990000000,39.990000000,0,30,0,30,30,52,0,0E-9,2PLAY,1,N/A,250,0,0,169,625
NRW,2024-08-01,1,60 - 64,0,44,0,VF RIP 100 U-TREUE,0,1,0,0,0,44,0,0,8,2,0,2,0,49.970000000,34.980000000,34.980000000,44.970000000,34.980000000,0,30,0,30,30,44,0,0.100000000,2PLAY,0,HD OPTION,100,1500,0,9,413
HSN,2024-08-01,0,35 - 39,0,45,0,RED INTERNET UND PHONE 250 CABLE U,0,1,0,0,0,45,0,0,2,2,0,2,0,44.980000000,44.980000000,44.980000000,44.980000000,44.980000000,0,30,0,30,30,45,0,0E-9,2PLAY,1,SUPERWLAN,250,0,0,82,296
KBW,2024-08-01,0,60 - 64,0,71,0,RED INTERNET UND PHONE 250 CABLE U,0,1,0,0,0,71,0,0,5,1,0,1,0,60.980000000,39.990000000,39.990000000,60.980000000,39.990000000,0,30,0,30,30,71,0,0E-9,2PLAY,2,DIGITAL KABELANSCHLUSS,250,0,0,62,489
NRW,2024-08-01,1,70 - 74,0,38,0,RED INTERNET UND PHONE 100 CABLE U,0,1,0,0,0,38,0,0,8,2,1,2,0,44.980000000,44.980000000,44.980000000,44.980000000,44.980000000,0,30,0,0,30,0,0,0E-9,2PLAY,0,2PLAY,100,0,0,26,527
HSN,2024-08-01,1,50 - 54,0,50,3,VF CABLEMAX 1000,0,1,0,0,0,50,0,0,9,2,0,2,0,47.970000000,44.980000000,44.980000000,47.970000000,44.980000000,0,30,0,30,30,50,3,0E-9,2PLAY,2,BOOSTER STANDARD,1000,0,0,38,220
NRW,2024-08-01,1,50 - 54,0,25,2,VF CABLEMAX 1000,0,1,3,242,1,25,0,0,7,2,0,2,0,44.980000000,44.980000000,44.980000000,44.980000000,44.980000000,0,30,0,0,30,0,0,0E-9,2PLAY,0,2PLAY,1000,0,1,49,176
NRW,2024-08-01,1,30 - 34,0,50,0,RED INTERNET UND PHONE 1000 CABLE U,0,1,0,0,0,50,0,0,7,2,0,2,0,54.990000000,54.990000000,54.990000000,54.990000000,54.990000000,0,30,0,0,30,0,0,0E-9,2PLAY,1,2PLAY,1000,0,0,121,363
KBW,2024-08-01,0,40 - 44,0,176,0,VF CABLEMAX 1000,0,0,0,0,0,24,0,17,5,1,0,1,0,54.970000000,44.980000000,44.980000000,54.970000000,44.980000000,0,30,0,30,17,176,0,0E-9,2PLAY,1,SUPERWLAN,1000,0,1,21,408
NRW,2024-08-01,1,65 - 69,0,55,0,GIGAZUHAUSE 250 KABEL,0,1,0,0,0,55,0,0,7,2,0,2,0,49.970000000,49.970000000,49.970000000,49.970000000,49.970000000,0,30,0,0,30,0,0,0E-9,2PLAY,2,2PLAY,250,0,0,0,0
NRW,2024-08-01,0,60 - 64,0,73,0,RED INTERNET UND PHONE 250 CABLE U,0,1,0,0,0,73,0,0,0,1,0,1,0,69.980000000,39.990000000,39.990000000,59.980000000,39.990000000,0,30,0,30,30,73,0,0.140000000,2PLAY,2,DIGITAL KABELANSCHLUSS,250,1500,0,37,618
KBW,2024-08-01,1,45 - 49,0,43,1,RED INTERNET UND PHONE 100 CABLE U,0,1,0,0,0,43,0,0,0,1,0,1,0,39.990000000,39.990000000,39.990000000,39.990000000,39.990000000,0,30,0,30,30,43,0,0E-9,2PLAY,0,N/A,100,0,1,98,522
KBW,2024-08-01,1,55 - 59,0,20,1,GIGAZUHAUSE 100 KABEL,0,0,0,0,0,20,4,122,6,1,0,1,0,39.980000000,39.980000000,39.980000000,39.980000000,39.980000000,4,122,0,30,122,20,0,0E-9,2PLAY,0,SUPERWLAN,100,0,3,63,441
HSN,2024-08-01,0,35 - 39,0,41,0,VF RIP 250 U-TREUE,0,1,0,0,0,41,0,0,5,1,0,1,0,37.990000000,37.990000000,37.990000000,37.990000000,37.990000000,0,30,0,30,30,41,0,0E-9,2PLAY,1,SUPERWLAN,250,0,0,66,374
NRW,2024-08-01,1,30 - 34,0,19,1,GIGAZUHAUSE 100 KABEL,0,0,0,0,0,19,5,170,8,1,0,3,0,39.980000000,39.980000000,39.980000000,39.980000000,39.980000000,5,170,0,30,170,19,0,0E-9,2PLAY,2,SUPERWLAN,100,0,0,42,490
KBW,2024-08-01,1,25 - 29,0,113,0,1PLAY 30MBIT 4ALL,0,1,0,0,0,113,0,0,0,0,0,0,0,29.990000000,29.990000000,29.990000000,29.990000000,29.990000000,0,30,0,0,30,0,0,0E-9,1PLAY,0,1PLAY,30,0,0,0,0
NRW,2024-08-01,1,40 - 44,1,20,6,GIGAZUHAUSE 1000 TREUE B,19,0,0,0,0,20,4,146,4,1,0,2,0,64.960000000,52.970000000,52.970000000,56.960000000,52.970000000,4,146,4,146,146,20,1,0.120000000,2PLAY,1,HD OPTION,1000,1500,1,193,361
NRW,2024-08-01,0,25 - 29,0,12,1,GIGAZUHAUSE 100 KABEL,0,0,0,0,0,12,12,394,5,0,0,0,0,44.970000000,44.970000000,44.970000000,44.970000000,44.970000000,12,394,0,0,394,0,0,0E-9,2PLAY,0,2PLAY,100,0,0,51,890
NRW,2024-08-01,0,80 and over,0,30,4,RED INTERNET & PHONE 50 CABLE U,0,1,0,0,0,30,0,0,0,0,0,0,0,62.950000000,24.990000000,24.990000000,45.970000000,24.990000000,0,30,0,30,30,30,0,0.270000000,2PLAY,1,VTV INTERNATIONAL,50,1500,0,83,518
NRW,2024-08-01,0,60 - 64,0,50,0,VF RIP 250 U-TREUE,0,1,0,0,0,50,0,0,6,1,0,1,0,54.980000000,39.990000000,39.990000000,49.980000000,39.990000000,0,30,0,30,30,50,0,0.090000000,2PLAY,3,N/A,250,1500,0,33,821
NRW,2024-08-01,1,40 - 44,0,44,0,RED INTERNET UND PHONE 250 CABLE U,0,1,0,0,0,44,0,0,6,1,0,1,0,44.980000000,44.980000000,44.980000000,44.980000000,44.980000000,0,30,0,0,30,0,0,0E-9,2PLAY,0,2PLAY,250,0,0,0,0
KBW,2024-08-01,0,70 - 74,0,89,0,INTERNET COMFORT 60,0,1,0,0,0,66,0,0,6,1,0,1,0,29.980000000,24.990000000,24.990000000,29.980000000,24.990000000,0,30,0,30,30,89,0,0E-9,1PLAY,0,TV START,60,0,0,48,691
KBW,2024-08-01,1,60 - 64,0,100,0,RED INTERNET UND PHONE 250 CABLE U,0,1,0,0,0,100,0,0,6,1,0,1,0,47.960000000,47.960000000,47.960000000,47.960000000,47.960000000,0,30,0,0,30,0,0,0E-9,2PLAY,0,2PLAY,250,0,0,78,273
NRW,2024-08-01,1,35 - 39,1,22,1,VF CABLEMAX 1000,11,0,0,0,0,22,2,72,5,0,0,0,0,44.970000000,44.970000000,39.970000000,39.970000000,44.970000000,2,72,0,0,72,0,1,0.110000000,2PLAY,1,2PLAY,1000,71,2,28,377
HSN,2024-08-01,1,35 - 39,0,30,0,RED INTERNET & PHONE 50 CABLE U,0,1,0,0,0,30,0,0,0,1,0,1,0,34.990000000,34.990000000,34.990000000,34.990000000,34.990000000,0,30,0,0,30,0,0,0E-9,2PLAY,0,2PLAY,50,0,0,404,654
NRW,2024-08-01,0,25 - 29,1,21,1,RED INTERNET UND PHONE 250 CABLE U,15,0,0,0,0,21,3,93,2,2,0,2,0,44.980000000,44.980000000,44.980000000,44.980000000,44.980000000,3,93,0,30,93,21,1,0E-9,2PLAY,0,SUPERWLAN,250,0,1,146,431
KBW,2024-08-01,0,70 - 74,0,21,0,GIGAZUHAUSE 50 TREUE B,0,0,0,0,0,21,3,113,6,1,1,1,0,29.980000000,22.990000000,22.990000000,26.980000000,22.990000000,15,485,15,485,113,21,0,0.100000000,2PLAY,1,N/A,50,112,0,34,711
HSN,2024-08-01,1,60 - 64,0,168,0,3PLAY 30MBIT 4ALL,0,1,0,0,0,168,0,0,0,1,0,1,0,56.850000000,35.860000000,35.860000000,56.850000000,35.860000000,0,30,0,30,30,130,0,0E-9,3PLAY,0,DIGITAL KABELANSCHLUSS,30,0,0,88,164
NRW,2024-08-01,0,30 - 34,0,34,0,RED INTERNET & PHONE 100 CABLE U,0,1,0,0,0,34,0,0,10,2,6,2,0,39.990000000,39.990000000,39.990000000,39.990000000,39.990000000,0,30,0,0,30,0,0,0E-9,2PLAY,0,2PLAY,100,0,0,56,905
NRW,2024-08-01,0,75 - 79,0,185,0,3PLAY 30MBIT 4ALL,0,1,0,0,0,168,0,0,0,1,0,1,0,56.850000000,35.860000000,35.860000000,56.850000000,35.860000000,0,30,0,30,30,185,0,0E-9,3PLAY,0,DIGITAL KABELANSCHLUSS,30,0,0,13,319
KBW,2024-08-01,0,40 - 44,0,44,0,GIGAZUHAUSE 250 TREUE B,0,0,0,0,0,20,4,143,9,2,0,2,0,72.960000000,37.980000000,37.980000000,62.960000000,37.980000000,4,143,4,143,143,44,0,0.140000000,2PLAY,1,HD OPTION,250,1500,5,78,490
NRW,2024-08-01,1,70 - 74,0,42,0,RED INTERNET UND PHONE 50 CABLE U,0,1,0,0,0,42,0,0,5,1,0,1,0,34.990000000,34.990000000,34.990000000,34.990000000,34.990000000,0,30,0,30,30,42,0,0E-9,2PLAY,1,SUPERWLAN,50,0,0,27,269
NRW,2024-08-01,0,70 - 74,0,365,3,VF CABLEMAX 1000,0,1,237,195,1,53,0,0,9,1,0,1,0,84.970000000,44.980000000,44.980000000,84.970000000,44.980000000,0,30,0,30,30,365,0,0E-9,2PLAY,3,HD OPTION,1000,0,2,35,315
KBW,2024-08-01,0,40 - 44,0,41,0,RED INTERNET UND PHONE 50 CABLE U,0,1,0,0,0,41,0,0,7,2,0,2,0,109.960000000,109.960000000,109.960000000,109.960000000,109.960000000,0,30,0,0,30,0,0,0E-9,2PLAY,0,2PLAY,50,0,0,17,211
NRW,2024-08-01,1,65 - 69,1,152,0,GIGAZUHAUSE 250 KABEL,17,0,0,0,0,18,6,189,8,0,1,0,0,77.920000000,44.990000000,44.990000000,77.920000000,44.990000000,18,567,18,567,189,152,1,0E-9,2PLAY,3,TV START,250,0,1,262,526
KBW,2024-08-01,0,35 - 39,0,34,0,VF CABLEMAX 1000,0,1,0,0,0,34,0,0,0,0,0,0,0,44.980000000,44.980000000,44.980000000,44.980000000,44.980000000,0,30,0,0,30,0,0,0E-9,2PLAY,1,2PLAY,1000,0,0,87,402
NRW,2024-08-01,1,25 - 29,0,40,0,RED INTERNET UND PHONE 50 CABLE U,0,1,0,0,0,40,0,0,2,2,0,2,0,38.980000000,38.980000000,38.980000000,38.980000000,38.980000000,0,30,0,0,30,0,0,0E-9,2PLAY,1,2PLAY,50,0,0,12,131
NRW,2024-08-01,0,55 - 59,0,66,0,VF RIP 250 U-TREUE,0,1,0,0,0,66,0,0,0,1,0,1,0,39.990000000,39.990000000,39.990000000,39.990000000,39.990000000,0,30,0,30,30,66,0,0E-9,2PLAY,0,N/A,250,0,0,105,359
NRW,2024-08-01,0,75 - 79,0,32,0,VF CABLEMAX 1000,0,1,0,0,0,32,0,0,0,1,0,1,0,44.980000000,44.980000000,44.980000000,44.980000000,44.980000000,0,30,0,0,30,0,0,0E-9,2PLAY,0,2PLAY,1000,0,0,97,643
KBW,2024-08-01,1,18 - 24,0,23,1,RED INTERNET & PHONE 50 CABLE U,0,0,0,0,0,23,1,60,7,2,0,2,0,34.990000000,34.990000000,34.990000000,34.990000000,34.990000000,1,60,0,30,60,23,0,0E-9,2PLAY,0,SUPERWLAN,50,0,1,44,593
HSN,2024-08-01,1,25 - 29,0,16,0,GIGAZUHAUSE 1000 KABEL,0,0,0,0,0,16,8,263,0,0,0,0,0,62.980000000,62.980000000,62.980000000,62.980000000,62.980000000,8,263,0,30,263,16,0,0E-9,2PLAY,2,SUPERWLAN,1000,0,0,0,0
NRW,2024-08-01,0,65 - 69,0,63,0,3PLAY JUMP 150,0,1,0,0,0,63,0,0,9,2,0,3,0,74.970000000,59.980000000,59.980000000,74.970000000,59.980000000,0,30,0,30,30,63,0,0E-9,3PLAY,1,DIGITAL KABELANSCHLUSS,150,0,0,0,0
KBW,2024-08-01,1,60 - 64,0,177,0,3PLAY TREUE 100,0,1,0,0,0,83,0,0,5,1,0,1,0,49.960000000,49.960000000,49.960000000,49.960000000,49.960000000,0,30,0,30,30,177,0,0E-9,3PLAY,2,N/A,100,0,3,99,420
NRW,2024-08-01,1,35 - 39,0,17,0,GIGAZUHAUSE 250 TREUE B,0,0,0,0,0,17,7,231,8,2,3,2,0,32.990000000,32.990000000,32.990000000,32.990000000,32.990000000,7,231,0,0,231,0,0,0E-9,2PLAY,0,2PLAY,250,0,0,39,291
NRW,2024-08-01,0,45 - 49,0,103,0,RED INTERNET UND PHONE 50 CABLE U,0,1,290,0,1,103,0,0,0,1,0,1,1,32.970000000,32.970000000,32.970000000,32.970000000,32.970000000,0,30,0,0,30,0,0,0E-9,2PLAY,0,2PLAY,50,0,0,130,143
KBW,2024-08-01,1,30 - 34,0,29,0,RED INTERNET & PHONE 100 CABLE U,0,1,0,0,0,29,0,0,0,1,2,1,0,43.980000000,43.980000000,43.980000000,43.980000000,43.980000000,0,30,0,0,30,0,0,0E-9,2PLAY,0,2PLAY,100,0,0,101,413
NRW,2024-08-01,1,25 - 29,0,27,0,VF CABLEMAX 1000,0,1,0,0,0,27,0,0,7,2,0,2,0,44.980000000,44.980000000,44.980000000,44.980000000,44.980000000,0,30,0,0,30,0,0,0E-9,2PLAY,0,2PLAY,1000,0,1,72,199
NRW,2024-08-01,1,40 - 44,0,20,0,GIGAZUHAUSE 1000 KABEL,0,0,0,0,0,20,4,140,6,1,0,1,0,63.980000000,63.980000000,63.980000000,63.980000000,63.980000000,4,140,0,30,140,20,0,0E-9,2PLAY,1,SUPERWLAN,1000,0,0,206,276
HSN,2024-08-01,1,25 - 29,0,25,0,RED INTERNET & PHONE 50 CABLE U,0,1,0,0,0,25,0,0,7,2,0,2,0,34.990000000,34.990000000,34.990000000,34.990000000,34.990000000,0,30,0,30,30,25,0,0E-9,2PLAY,5,SUPERWLAN,50,0,0,61,383
KBW,2024-08-01,0,18 - 24,0,41,0,RED INTERNET UND PHONE 50 CABLE U,0,1,0,0,0,41,0,0,7,2,0,2,0,34.990000000,34.990000000,34.990000000,34.990000000,34.990000000,0,30,0,0,30,0,0,0E-9,2PLAY,0,2PLAY,50,0,0,18,489
NRW,2024-08-01,0,50 - 54,0,254,0,VF RIP 250 U-TREUE,0,1,0,0,0,60,0,0,7,2,0,2,0,60.980000000,39.990000000,39.990000000,60.980000000,39.990000000,0,30,0,30,30,254,0,0E-9,2PLAY,2,ANALOG KABELANSCHLUSS,250,0,0,31,489
NRW,2024-08-01,1,75 - 79,0,40,0,RED INTERNET UND PHONE 250 CABLE U,0,1,0,0,0,40,0,0,7,1,2,1,0,44.980000000,44.980000000,44.980000000,44.980000000,44.980000000,0,30,0,0,30,0,0,0E-9,2PLAY,0,2PLAY,250,0,0,10,452
HSN,2024-08-01,1,60 - 64,0,92,0,GIGAZUHAUSE 250 KABEL,0,1,0,0,0,92,0,0,0,1,0,1,0,42.970000000,42.970000000,42.970000000,42.970000000,42.970000000,0,30,0,0,30,0,0,0E-9,2PLAY,2,2PLAY,250,0,0,279,386
NRW,2024-08-01,0,65 - 69,0,23,5,VF CABLEMAX 1000,0,0,10,1132,3,23,1,53,7,2,0,2,1,52.960000000,52.960000000,52.960000000,52.960000000,52.960000000,1,53,0,0,53,0,0,0E-9,2PLAY,1,2PLAY,1000,0,1,24,118
NRW,2024-08-01,1,18 - 24,0,22,2,VF CABLEMAX 1000,0,0,0,0,0,22,2,88,0,1,0,1,0,48.970000000,48.970000000,48.970000000,48.970000000,48.970000000,2,88,0,0,88,0,0,0E-9,2PLAY,0,2PLAY,1000,0,3,213,213
KBW,2024-08-01,0,75 - 79,0,63,0,RED INTERNET UND PHONE 500 CABLE U,0,1,0,0,0,40,0,0,0,1,0,1,0,49.990000000,49.990000000,49.990000000,49.990000000,49.990000000,0,30,0,30,30,63,0,0E-9,2PLAY,0,N/A,500,0,2,156,464
HSN,2024-08-01,0,40 - 44,0,35,3,VF CABLEMAX 1000,0,1,19,1313,3,35,0,0,1,1,0,1,0,49.970000000,49.970000000,49.970000000,49.970000000,49.970000000,0,30,0,0,30,0,3,0E-9,2PLAY,1,2PLAY,1000,0,1,47,407
NRW,2024-08-01,0,18 - 24,0,21,0,VF CABLEMAX 1000,0,0,0,0,0,21,3,99,0,0,0,0,0,39.980000000,39.980000000,39.980000000,39.980000000,39.980000000,3,99,0,0,99,0,0,0E-9,2PLAY,1,2PLAY,1000,0,0,26,375
NRW,2024-08-01,0,25 - 29,0,30,0,RED INTERNET & PHONE 250 CABLE U,0,1,0,0,0,30,0,0,7,2,0,2,0,54.960000000,44.980000000,44.980000000,54.960000000,44.980000000,19,587,19,587,30,5,0,0E-9,2PLAY,1,DIGITAL KABELANSCHLUSS,250,0,0,117,117
NRW,2024-08-01,0,65 - 69,0,35,0,RED INTERNET UND PHONE 1000 CABLE U,0,1,0,0,0,35,0,0,3,2,1,2,0,59.980000000,59.980000000,59.980000000,59.980000000,59.980000000,0,30,0,0,30,0,0,0E-9,2PLAY,0,2PLAY,1000,0,0,105,172
KBW,2024-08-01,0,40 - 44,0,67,1,VF RIP 250 U-TREUE,0,1,0,0,0,67,0,0,0,1,1,1,0,46.980000000,39.990000000,39.990000000,46.980000000,39.990000000,22,680,22,680,30,67,0,0E-9,2PLAY,2,N/A,250,0,0,98,742
KBW,2024-08-01,1,18 - 24,0,37,0,RED INTERNET UND PHONE 250 CABLE U,0,1,0,0,0,37,0,0,5,0,0,0,0,42.980000000,42.980000000,42.980000000,42.980000000,42.980000000,0,30,0,30,30,37,0,0E-9,2PLAY,2,SUPERWLAN,250,0,0,57,444
