customer_age_class,region,internet_product_name,basket_package_price_disc,internet_package_price_disc,basket_days_until_contract_end,count_previous_cancellations_0_18,flag_churn
55 - 59,NRW,GIGAZUHAUSE KABEL,72.32,47.82,30,0,0
55 - 59,NRW,RED INTERNET & PHONE CABLE U,56.8,48.68,32,0,0
35 - 39,NRW,RED INTERNET & PHONE CABLE U,50.66,45.42,30,0,1
25 - 29,NRW,GIGAZUHAUSE KABEL,34.52,40.28,30,0,1
55 - 59,NRW,RED INTERNET & PHONE CABLE U,50.65,44.19,30,0,0
55 - 59,NRW,RED INTERNET & PHONE CABLE U,40.93,44.13,30,0,0
35 - 39,NRW,RED INTERNET & PHONE CABLE U,42.01,39.3,31,0,0
25 - 29,NRW,GIGAZUHAUSE KABEL,42.21,44.36,215,0,1
35 - 39,NRW,RED INTERNET & PHONE CABLE U,44.58,44.83,31,0,1
25 - 29,NRW,RED INTERNET & PHONE CABLE U,40.74,39.68,29,0,1
35 - 39,NRW,VF RIP U-TREUE,43.13,39.53,30,0,0
35 - 39,NRW,RED INTERNET & PHONE CABLE U,36.59,40.12,30,0,1
40 - 44,NRW,GIGAZUHAUSE KABEL,46.05,44.76,30,0,1
55 - 59,NRW,VF RIP U-TREUE,42.56,38.1,30,0,0
40 - 44,NRW,GIGAZUHAUSE KABEL,71.57,39.02,372,0,0
25 - 29,NRW,VF CABLEMAX,33.99,44.53,30,0,1
60 - 64,NRW,GIGAZUHAUSE TREUE B,26.33,27.8,32,0,0
80 and over,NRW,VF RIP U-TREUE,35.87,25.83,29,0,0
55 - 59,NRW,RED INTERNET & PHONE CABLE U,46.4,44.86,31,0,1
35 - 39,NRW,GIGAZUHAUSE TREUE C,32.95,26.22,32,0,0
35 - 39,NRW,RED INTERNET & PHONE CABLE U,39.66,40.67,31,0,1
25 - 29,NRW,RED INTERNET & PHONE CABLE U,42.65,40.2,32,0,1
35 - 39,NRW,VF RIP U-TREUE,17.23,30.06,31,0,0
50 - 54,NRW,GIGAZUHAUSE KABEL,60.31,56.28,30,0,0
55 - 59,NRW,GIGAZUHAUSE KABEL,86.43,52.82,30,0,0
25 - 29,NRW,RED INTERNET & PHONE CABLE U,26.65,35.01,28,0,1
55 - 59,NRW,GIGAZUHAUSE KABEL,44.97,39.34,31,0,0
35 - 39,NRW,RED INTERNET & PHONE CABLE U,35.08,39.38,31,0,1
25 - 29,NRW,RED INTERNET & PHONE CABLE U,41.47,45.39,31,0,1
35 - 39,NRW,RED INTERNET & PHONE CABLE U,32.08,27.57,30,0,1
25 - 29,NRW,RED INTERNET & PHONE CABLE U,41.67,39.55,30,0,1
35 - 39,NRW,RED INTERNET & PHONE CABLE U,41.07,34.33,30,0,1
35 - 39,NRW,VF RIP U-TREUE,21.32,26.74,28,0,0
55 - 59,NRW,VF CABLEMAX,46.76,50.27,30,0,0
25 - 29,NRW,GIGAZUHAUSE KABEL,37.8,44.5,28,0,1
60 - 64,NRW,GIGAZUHAUSE KABEL,94.57,55.53,328,0,0
55 - 59,NRW,RED INTERNET & PHONE CABLE U,47.95,43.54,29,0,0
55 - 59,NRW,GIGAZUHAUSE KABEL,75.26,54.52,30,0,0
55 - 59,NRW,VF CABLEMAX,74.33,49.37,29,0,0
35 - 39,NRW,VF RIP U-TREUE,26.35,22.97,29,0,0
50 - 54,NRW,VF CABLEMAX,51.44,50.12,31,0,0
65 - 69,NRW,VF RIP U-TREUE,48.45,42.48,31,0,0
55 - 59,NRW,RED INTERNET & PHONE CABLE U,49.46,43.79,29,0,0
50 - 54,NRW,VF CABLEMAX,62.95,56.2,31,0,0
55 - 59,NRW,VF CABLEMAX,79.84,49.95,29,0,0
35 - 39,NRW,RED INTERNET & PHONE CABLE U,33.55,28.14,31,0,0
35 - 39,NRW,RED INTERNET & PHONE CABLE U,39.58,38.78,26,0,1
50 - 54,NRW,VF CABLEMAX,78.17,45.4,32,0,1
65 - 69,NRW,VF RIP U-TREUE,38.17,38.86,31,0,0
35 - 39,NRW,RED INTERNET & PHONE CABLE U,46.96,40.35,30,0,0
55 - 59,NRW,VF CABLEMAX,56.41,49.86,30,0,0
25 - 29,NRW,VF CABLEMAX,46.52,44.73,31,0,1
25 - 29,NRW,RED INTERNET & PHONE CABLE U,38.53,45.07,28,0,1
25 - 29,NRW,RED INTERNET & PHONE CABLE U,42.77,44.82,30,0,1
35 - 39,NRW,VF RIP U-TREUE,40.13,38.45,31,0,0
55 - 59,NRW,GIGAZUHAUSE KABEL,90.37,49.84,31,0,0
55 - 59,NRW,VF RIP U-TREUE,42.29,37.94,29,0,0
35 - 39,NRW,RED INTERNET & PHONE CABLE U,39.71,29.0,27,0,0
60 - 64,NRW,GIGAZUHAUSE KABEL,48.39,40.19,306,0,0
55 - 59,NRW,VF RIP U-TREUE,37.12,38.82,31,0,0
55 - 59,NRW,VF RIP U-TREUE,37.0,38.43,33,0,0
35 - 39,NRW,RED INTERNET & PHONE CABLE U,31.64,30.64,29,0,1
35 - 39,NRW,RED INTERNET & PHONE CABLE U,43.79,39.64,28,0,1
55 - 59,NRW,RED INTERNET & PHONE CABLE U,50.94,49.9,30,0,1
35 - 39,NRW,RED INTERNET & PHONE CABLE U,43.76,45.55,30,0,0
25 - 29,NRW,RED INTERNET & PHONE CABLE U,51.63,39.39,34,0,1
35 - 39,NRW,RED INTERNET & PHONE CABLE U,33.15,26.53,30,0,1
25 - 29,NRW,RED INTERNET & PHONE CABLE U,37.15,40.55,31,0,1
50 - 54,NRW,VF CABLEMAX,74.16,49.74,30,0,0
25 - 29,NRW,VF CABLEMAX,56.69,45.09,27,0,1
35 - 39,NRW,RED INTERNET & PHONE CABLE U,34.35,40.2,28,0,0
40 - 44,NRW,GIGAZUHAUSE TREUE B,34.34,37.87,32,0,0
35 - 39,NRW,RED INTERNET & PHONE CABLE U,48.42,40.85,30,0,1
55 - 59,NRW,RED INTERNET & PHONE CABLE U,50.37,43.21,29,0,0
55 - 59,NRW,RED INTERNET & PHONE CABLE U,52.17,39.4,31,0,0
35 - 39,NRW,RED INTERNET & PHONE CABLE U,44.07,34.5,31,0,0
55 - 59,NRW,GIGAZUHAUSE KABEL,68.26,43.7,29,0,0
35 - 39,NRW,RED INTERNET & PHONE CABLE U,34.42,30.35,29,0,1
35 - 39,NRW,RED INTERNET & PHONE CABLE U,37.91,40.46,30,0,1
35 - 39,NRW,RED INTERNET & PHONE CABLE U,34.87,31.11,31,0,0
50 - 54,NRW,VF CABLEMAX,39.15,44.48,30,0,0
35 - 39,NRW,RED INTERNET & PHONE CABLE U,22.55,33.74,27,0,0
80 and over,NRW,VF RIP U-TREUE,32.89,26.71,31,0,0
35 - 39,NRW,RED INTERNET & PHONE CABLE U,29.47,33.55,29,0,0
55 - 59,NRW,RED INTERNET & PHONE CABLE U,42.33,49.74,29,0,0
35 - 39,NRW,VF RIP U-TREUE,45.04,38.96,28,0,1
55 - 59,NRW,VF CABLEMAX,61.55,50.49,31,0,0
55 - 59,NRW,RED INTERNET & PHONE CABLE U,50.31,39.23,29,0,0
35 - 39,NRW,RED INTERNET & PHONE CABLE U,42.21,45.82,31,0,0
55 - 59,NRW,RED INTERNET & PHONE CABLE U,38.2,40.33,29,0,0
55 - 59,NRW,RED INTERNET & PHONE CABLE U,40.52,38.6,28,0,0
35 - 39,NRW,VF RIP U-TREUE,23.13,26.56,29,0,1
50 - 54,NRW,VF CABLEMAX,60.25,44.62,31,0,0
55 - 59,NRW,VF CABLEMAX,96.24,47.67,29,0,0
25 - 29,NRW,RED INTERNET & PHONE CABLE U,41.93,39.36,29,0,1
35 - 39,NRW,RED INTERNET & PHONE CABLE U,47.01,40.11,30,0,1
25 - 29,NRW,VF CABLEMAX,44.46,44.94,31,0,1
80 and over,NRW,VF RIP U-TREUE,34.73,39.67,28,0,0
35 - 39,NRW,VF RIP U-TREUE,30.21,26.96,30,0,0
35 - 39,NRW,GIGAZUHAUSE KABEL,42.11,39.37,31,0,1
25 - 29,NRW,RED INTERNET & PHONE CABLE U,29.65,40.96,30,0,0
55 - 59,NRW,VF RIP U-TREUE,42.05,39.08,31,0,0
55 - 59,NRW,VF CABLEMAX,89.83,49.53,30,0,0
50 - 54,NRW,VF CABLEMAX,82.62,48.59,30,0,0
55 - 59,NRW,VF RIP U-TREUE,28.18,38.99,29,0,0
55 - 59,NRW,VF CABLEMAX,95.16,50.1,29,0,0
80 and over,NRW,MMA,23.64,25.51,31,0,0
35 - 39,NRW,RED INTERNET & PHONE CABLE U,41.94,39.23,31,0,1
55 - 59,NRW,GIGAZUHAUSE KABEL,63.06,53.03,32,0,0
80 and over,NRW,VF RIP U-TREUE,41.9,29.08,31,0,0
35 - 39,NRW,GIGAZUHAUSE KABEL,34.5,40.3,29,0,1
55 - 59,NRW,VF RIP U-TREUE,35.29,39.25,29,0,0
25 - 29,NRW,RED INTERNET & PHONE CABLE U,37.52,40.56,30,0,1
55 - 59,NRW,RED INTERNET & PHONE CABLE U,45.68,49.74,31,0,0
25 - 29,NRW,RED INTERNET & PHONE CABLE U,44.96,35.86,29,0,1
60 - 64,NRW,RED INTERNET & PHONE CABLE U,42.03,41.12,31,0,0
35 - 39,NRW,VF RIP U-TREUE,31.51,26.77,32,0,0
80 and over,NRW,RED INTERNET & PHONE CABLE U,38.44,38.74,32,0,0
25 - 29,NRW,RED INTERNET & PHONE CABLE U,40.15,39.99,30,0,1
35 - 39,NRW,RED INTERNET & PHONE CABLE U,35.63,31.5,30,0,0
35 - 39,NRW,RED INTERNET & PHONE CABLE U,13.19,32.15,31,0,0
50 - 54,NRW,VF CABLEMAX,52.36,44.79,30,0,1
55 - 59,NRW,RED INTERNET & PHONE CABLE U,43.04,49.85,31,0,0
55 - 59,NRW,RED INTERNET & PHONE CABLE U,80.83,57.94,30,0,0
35 - 39,NRW,GIGAZUHAUSE KABEL,42.77,39.39,31,0,1
80 and over,NRW,VF RIP U-TREUE,23.68,30.31,30,0,0
35 - 39,NRW,RED INTERNET & PHONE CABLE U,37.06,30.35,31,0,1
55 - 59,NRW,VF RIP U-TREUE,44.33,43.31,29,0,1
35 - 39,NRW,RED INTERNET & PHONE CABLE U,42.44,45.38,30,0,1
50 - 54,NRW,GIGAZUHAUSE KABEL,77.4,52.98,29,0,0
25 - 29,NRW,RED INTERNET & PHONE CABLE U,40.89,39.11,31,0,1
55 - 59,NRW,VF RIP U-TREUE,38.19,38.86,31,0,0
55 - 59,NRW,RED INTERNET & PHONE CABLE U,46.19,39.92,30,0,0
50 - 54,NRW,VF CABLEMAX,45.05,45.08,29,0,1
35 - 39,NRW,RED INTERNET & PHONE CABLE U,45.96,45.16,29,0,0
35 - 39,NRW,RED INTERNET & PHONE CABLE U,37.26,40.62,31,0,1
25 - 29,NRW,RED INTERNET & PHONE CABLE U,44.71,40.67,29,0,1
35 - 39,NRW,RED INTERNET & PHONE CABLE U,18.42,29.68,30,0,0
50 - 54,NRW,VF CABLEMAX,51.19,44.86,29,0,0
35 - 39,NRW,VF RIP U-TREUE,17.15,22.7,30,0,1
50 - 54,NRW,RED INTERNET & PHONE CABLE U,31.54,39.55,31,0,0
80 and over,NRW,VF RIP U-TREUE,32.15,28.03,30,0,0
55 - 59,NRW,RED INTERNET & PHONE CABLE U,47.31,42.95,29,0,0
55 - 59,NRW,VF CABLEMAX,43.27,49.73,31,0,0
25 - 29,NRW,RED INTERNET & PHONE CABLE U,39.95,43.87,28,0,1
80 and over,NRW,VF RIP U-TREUE,32.86,30.27,29,0,0
25 - 29,NRW,RED INTERNET & PHONE CABLE U,34.1,44.98,29,0,1
25 - 29,NRW,GIGAZUHAUSE KABEL,37.29,38.95,32,0,1
55 - 59,NRW,RED INTERNET & PHONE CABLE U,64.48,58.15,27,0,0
55 - 59,NRW,RED INTERNET & PHONE CABLE U,36.2,40.56,29,0,0
25 - 29,NRW,RED INTERNET & PHONE CABLE U,45.49,31.47,29,0,1
80 and over,NRW,VF RIP U-TREUE,31.93,30.19,30,0,0
80 and over,NRW,VF RIP U-TREUE,41.61,30.29,28,0,0
35 - 39,NRW,GIGAZUHAUSE KABEL,32.15,39.43,30,0,0
35 - 39,NRW,RED INTERNET & PHONE CABLE U,40.43,39.95,30,0,1
35 - 39,NRW,RED INTERNET & PHONE CABLE U,44.97,35.19,32,0,0
55 - 59,NRW,VF RIP U-TREUE,40.19,38.18,28,0,0
25 - 29,NRW,RED INTERNET & PHONE CABLE U,46.19,45.69,30,0,1
35 - 39,NRW,RED INTERNET & PHONE CABLE U,44.09,38.5,32,0,1
25 - 29,NRW,VF CABLEMAX,39.08,44.85,32,0,1
25 - 29,NRW,GIGAZUHAUSE KABEL,46.12,40.27,29,0,1
25 - 29,NRW,RED INTERNET & PHONE CABLE U,28.15,39.74,28,0,1
35 - 39,NRW,VF RIP U-TREUE,24.69,30.72,32,0,0
55 - 59,NRW,RED INTERNET & PHONE CABLE U,44.41,39.18,29,0,0
50 - 54,NRW,VF CABLEMAX,43.62,50.48,30,0,0
35 - 39,NRW,VF RIP U-TREUE,27.52,29.68,30,0,0
55 - 59,NRW,RED INTERNET & PHONE CABLE U,50.81,39.5,30,0,0
25 - 29,NRW,RED INTERNET & PHONE CABLE U,37.96,40.74,30,0,1
55 - 59,NRW,RED INTERNET & PHONE CABLE U,42.45,40.52,29,0,0
55 - 59,NRW,VF RIP U-TREUE,41.07,38.36,29,0,0
50 - 54,NRW,VF CABLEMAX,48.65,49.24,32,0,1
50 - 54,NRW,GIGAZUHAUSE KABEL,70.62,61.23,33,0,0
25 - 29,NRW,VF CABLEMAX,42.6,45.02,31,0,1
25 - 29,NRW,GIGAZUHAUSE KABEL,43.93,40.74,212,0,1
25 - 29,NRW,GIGAZUHAUSE KABEL,51.79,44.28,31,0,1
50 - 54,NRW,RED INTERNET & PHONE CABLE U,37.01,44.92,29,0,1
35 - 39,NRW,RED INTERNET & PHONE CABLE U,38.64,38.48,29,0,1
35 - 39,NRW,RED INTERNET & PHONE CABLE U,32.4,38.3,30,0,1
80 and over,NRW,VF RIP U-TREUE,41.61,38.52,29,0,0
55 - 59,NRW,RED INTERNET & PHONE CABLE U,38.8,45.49,31,0,0
80 and over,NRW,RED INTERNET & PHONE CABLE U,39.08,35.23,31,0,0
35 - 39,NRW,RED INTERNET & PHONE CABLE U,33.6,29.34,27,0,1
25 - 29,NRW,VF CABLEMAX,47.6,45.2,31,0,1
65 - 69,NRW,VF RIP U-TREUE,38.15,38.43,31,0,0
80 and over,NRW,VF RIP U-TREUE,37.58,39.59,30,0,0
25 - 29,NRW,VF CABLEMAX,50.94,45.26,72,0,1
50 - 54,NRW,VF CABLEMAX,48.43,45.11,29,0,0
35 - 39,NRW,VF CABLEMAX,39.63,45.16,30,0,1
35 - 39,NRW,GIGAZUHAUSE KABEL,45.55,39.44,28,0,1
25 - 29,NRW,VF CABLEMAX,52.37,44.45,29,0,1
80 and over,NRW,VF RIP U-TREUE,34.07,37.82,30,0,0
55 - 59,NRW,RED INTERNET & PHONE CABLE U,44.65,39.17,29,0,0
50 - 54,NRW,VF CABLEMAX,41.29,45.44,30,0,0
35 - 39,NRW,RED INTERNET & PHONE CABLE U,42.9,40.57,30,0,0
35 - 39,NRW,GIGAZUHAUSE KABEL,44.89,40.02,31,0,1
35 - 39,NRW,VF RIP U-TREUE,32.59,27.76,30,0,0
35 - 39,NRW,RED INTERNET & PHONE CABLE U,41.15,39.52,32,0,0
35 - 39,NRW,RED INTERNET & PHONE CABLE U,40.8,40.01,29,0,1
25 - 29,NRW,VF CABLEMAX,44.07,45.41,29,0,1
50 - 54,NRW,RED INTERNET & PHONE CABLE U,48.36,39.76,30,0,0
25 - 29,NRW,RED INTERNET & PHONE CABLE U,27.24,32.96,32,0,1
35 - 39,NRW,RED INTERNET & PHONE CABLE U,31.35,39.15,30,0,1
50 - 54,NRW,VF CABLEMAX,46.4,44.65,29,0,0
35 - 39,NRW,RED INTERNET & PHONE CABLE U,40.78,33.91,30,0,0
55 - 59,NRW,VF CABLEMAX,73.89,48.71,30,0,0
50 - 54,NRW,VF CABLEMAX,50.75,44.28,31,0,1
40 - 44,NRW,GIGAZUHAUSE KABEL,38.31,39.38,31,0,0
35 - 39,NRW,RED INTERNET & PHONE CABLE U,36.79,35.62,30,0,1
80 and over,NRW,VF RIP U-TREUE,18.99,25.97,29,0,0
80 and over,NRW,VF RIP U-TREUE,22.34,24.93,30,0,0
35 - 39,NRW,VF CABLEMAX,50.17,44.65,30,0,1
55 - 59,NRW,RED INTERNET & PHONE CABLE U,40.88,39.83,30,0,0
50 - 54,NRW,VF CABLEMAX,49.59,50.11,30,0,1
50 - 54,NRW,VF CABLEMAX,75.7,49.76,29,0,0
25 - 29,NRW,RED INTERNET & PHONE CABLE U,38.63,39.48,33,0,1
35 - 39,NRW,GIGAZUHAUSE KABEL,45.02,38.63,31,0,1
25 - 29,NRW,VF CABLEMAX,46.0,45.47,28,0,1
35 - 39,NRW,RED INTERNET & PHONE CABLE U,41.72,39.82,30,0,0
55 - 59,NRW,VF RIP U-TREUE,59.5,43.83,28,0,0
25 - 29,NRW,RED INTERNET & PHONE CABLE U,34.17,36.32,31,0,0
35 - 39,NRW,RED INTERNET & PHONE CABLE U,45.34,39.62,30,0,0
35 - 39,NRW,VF CABLEMAX,38.9,44.97,30,0,0
50 - 54,NRW,VF CABLEMAX,46.47,50.93,31,0,0
35 - 39,NRW,RED INTERNET & PHONE CABLE U,44.61,40.0,28,0,0
25 - 29,NRW,VF CABLEMAX,37.4,39.42,84,0,1
25 - 29,NRW,RED INTERNET & PHONE CABLE U,41.17,39.81,31,0,1
35 - 39,NRW,RED INTERNET & PHONE CABLE U,33.63,29.59,29,0,0
40 - 44,NRW,GIGAZUHAUSE KABEL,42.09,42.96,30,0,1
35 - 39,NRW,RED INTERNET & PHONE CABLE U,30.21,34.88,31,0,0
25 - 29,NRW,RED INTERNET & PHONE CABLE U,37.06,40.56,29,0,1
25 - 29,NRW,VF CABLEMAX,40.05,45.34,29,0,1
50 - 54,NRW,RED INTERNET & PHONE CABLE U,44.74,43.92,27,0,0
35 - 39,NRW,GIGAZUHAUSE TREUE C,21.47,28.18,31,0,0
80 and over,NRW,VF RIP U-TREUE,24.85,30.81,31,0,0
50 - 54,NRW,VF CABLEMAX,45.09,50.0,31,0,0
80 and over,NRW,VF RIP U-TREUE,28.28,33.46,28,0,0
55 - 59,NRW,VF RIP U-TREUE,41.48,38.12,30,0,0
35 - 39,NRW,VF RIP U-TREUE,31.71,38.92,32,0,1
35 - 39,NRW,RED INTERNET & PHONE CABLE U,43.76,39.94,30,0,0
55 - 59,NRW,VF CABLEMAX,42.56,49.1,29,0,0
35 - 39,NRW,VF RIP U-TREUE,15.96,26.73,30,0,0
80 and over,NRW,VF RIP U-TREUE,35.0,24.76,30,0,0
25 - 29,NRW,RED INTERNET & PHONE CABLE U,48.08,44.39,32,0,1
35 - 39,NRW,RED INTERNET & PHONE CABLE U,37.8,40.09,29,0,0
35 - 39,NRW,VF RIP U-TREUE,38.86,38.03,31,0,0
25 - 29,NRW,GIGAZUHAUSE KABEL,44.92,38.66,230,0,1
55 - 59,NRW,RED INTERNET & PHONE CABLE U,43.03,44.66,28,0,0
35 - 39,NRW,RED INTERNET & PHONE CABLE U,33.32,34.07,28,0,1
35 - 39,NRW,RED INTERNET & PHONE CABLE U,30.47,35.63,29,0,1
80 and over,NRW,GIGAZUHAUSE TREUE B,32.38,29.9,30,0,0
50 - 54,NRW,GIGAZUHAUSE KABEL,70.44,50.32,374,0,0
35 - 39,NRW,VF RIP U-TREUE,31.31,25.75,29,0,0
55 - 59,NRW,RED INTERNET & PHONE CABLE U,48.44,44.48,29,0,0
35 - 39,NRW,VF RIP U-TREUE,37.67,38.76,28,0,0
50 - 54,NRW,VF CABLEMAX,80.78,49.84,28,0,0
80 and over,NRW,VF RIP U-TREUE,33.24,38.05,29,0,0
50 - 54,NRW,VF CABLEMAX,52.43,44.78,31,0,1
40 - 44,NRW,GIGAZUHAUSE TREUE C,19.67,5.52,306,0,0
55 - 59,NRW,RED INTERNET & PHONE CABLE U,50.29,43.8,29,0,0
80 and over,NRW,VF RIP U-TREUE,25.62,28.73,33,0,0
25 - 29,NRW,RED INTERNET & PHONE CABLE U,48.73,40.28,29,0,1
80 and over,NRW,MMA,5.76,0.0,29,0,0
35 - 39,NRW,VF CABLEMAX,46.49,44.1,30,0,1
55 - 59,NRW,VF CABLEMAX,60.75,50.76,31,0,0
50 - 54,NRW,VF CABLEMAX,55.74,49.87,31,0,1
50 - 54,NRW,VF CABLEMAX,74.22,50.54,30,0,0
55 - 59,NRW,VF CABLEMAX,54.98,59.17,33,0,0
25 - 29,NRW,RED INTERNET & PHONE CABLE U,36.45,44.2,30,0,1
55 - 59,NRW,VF RIP U-TREUE,52.17,43.71,32,0,0
35 - 39,NRW,RED INTERNET & PHONE CABLE U,44.51,40.68,31,0,1
35 - 39,NRW,RED INTERNET & PHONE CABLE U,39.77,45.34,30,0,0
55 - 59,NRW,RED INTERNET & PHONE CABLE U,50.21,44.09,32,0,0
35 - 39,NRW,RED INTERNET & PHONE CABLE U,33.84,30.85,32,0,0
35 - 39,NRW,RED INTERNET & PHONE CABLE U,46.52,40.0,32,0,0
35 - 39,NRW,RED INTERNET & PHONE CABLE U,45.72,45.2,31,0,0
55 - 59,NRW,VF RIP U-TREUE,37.87,39.71,30,0,0
35 - 39,NRW,RED INTERNET & PHONE CABLE U,41.92,39.73,30,0,1
35 - 39,NRW,VF RIP U-TREUE,40.1,38.46,29,0,1
35 - 39,NRW,VF CABLEMAX,44.84,44.34,27,0,1
25 - 29,NRW,RED INTERNET & PHONE CABLE U,46.65,40.79,29,0,1
55 - 59,NRW,VF RIP U-TREUE,37.44,38.64,30,0,0
35 - 39,NRW,RED INTERNET & PHONE CABLE U,33.15,39.73,33,0,1
55 - 59,NRW,GIGAZUHAUSE KABEL,74.94,57.63,30,0,0
35 - 39,NRW,VF RIP U-TREUE,22.53,26.34,29,0,0
55 - 59,NRW,VF RIP U-TREUE,47.59,42.93,31,0,0
40 - 44,NRW,GIGAZUHAUSE KABEL,54.66,39.23,31,0,0
55 - 59,NRW,RED INTERNET & PHONE CABLE U,39.89,39.75,32,0,0
80 and over,NRW,RED INTERNET & PHONE CABLE U,33.27,38.59,31,0,0
35 - 39,NRW,RED INTERNET & PHONE CABLE U,35.44,34.8,31,0,0
35 - 39,NRW,RED INTERNET & PHONE CABLE U,26.54,30.45,28,0,0
35 - 39,NRW,RED INTERNET & PHONE CABLE U,44.04,39.47,32,0,1
35 - 39,NRW,VF RIP U-TREUE,19.9,32.77,29,0,0
50 - 54,NRW,VF CABLEMAX,88.9,50.4,31,0,0
25 - 29,NRW,RED INTERNET & PHONE CABLE U,43.6,40.34,28,0,1
60 - 64,NRW,GIGAZUHAUSE KABEL,66.01,61.85,346,0,0
80 and over,NRW,VF RIP U-TREUE,33.13,28.33,33,0,0
60 - 64,NRW,RED INTERNET & PHONE CABLE U,51.42,41.4,29,0,0
55 - 59,NRW,RED INTERNET & PHONE CABLE U,47.21,43.52,29,0,0
